event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,daily_universe_capped_return,daily_universe_target7_rate,train_start,train_end,train_dates
002806_2026-06-01,2026-06-01,002806,2,0.576826170605,1,1,0.149321266968,0.07,0.0277936611056,0.25,2026-05-06,2026-05-29,18
600110_2026-06-01,2026-06-01,600110,2,0.573956161071,2,0,0.0451559934319,0.0451559934319,0.0277936611056,0.25,2026-05-06,2026-05-29,18
000090_2026-06-01,2026-06-01,000090,2,0.572731263479,3,0,-0.0263852242744,-0.0263852242744,0.0277936611056,0.25,2026-05-06,2026-05-29,18
603324_2026-06-01,2026-06-01,603324,2,0.534568190065,4,0,0.0224038752649,0.0224038752649,0.0277936611056,0.25,2026-05-06,2026-05-29,18
002608_2026-06-02,2026-06-02,002608,2,0.669829779368,1,1,0.099,0.07,0.0480237825595,0.5,2026-05-06,2026-06-01,19
600011_2026-06-02,2026-06-02,600011,2,0.616202677126,2,0,0.0260475651189,0.0260475651189,0.0480237825595,0.5,2026-05-06,2026-06-01,19
600280_2026-06-03,2026-06-03,600280,3,0.661231793594,1,0,-0.0125313283208,-0.0125313283208,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
002579_2026-06-03,2026-06-03,002579,2,0.647916971429,2,0,0.0540254237288,0.0540254237288,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
001210_2026-06-03,2026-06-03,001210,2,0.637872786829,3,0,-0.244557534634,-0.244557534634,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
002404_2026-06-03,2026-06-03,002404,2,0.625034502764,4,0,0.0299319727891,0.0299319727891,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
000055_2026-06-03,2026-06-03,000055,2,0.58808867594,5,0,0,0,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
603045_2026-06-03,2026-06-03,603045,2,0.577252441214,6,1,0.154815115807,0.07,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
002421_2026-06-03,2026-06-03,002421,2,0.576307116662,7,0,0.0698151950719,0.0698151950719,-0.00475946733784,0.142857142857,2026-05-06,2026-06-02,20
600121_2026-06-04,2026-06-04,600121,3,0.637702532534,1,0,-0.00709219858156,-0.00709219858156,-0.00286482866453,0,2026-05-06,2026-06-03,21
600487_2026-06-04,2026-06-04,600487,2,0.627977920763,2,0,0.0659375,0.0659375,-0.00286482866453,0,2026-05-06,2026-06-03,21
002137_2026-06-04,2026-06-04,002137,2,0.607058594128,3,0,0.0068359375,0.0068359375,-0.00286482866453,0,2026-05-06,2026-06-03,21
000700_2026-06-04,2026-06-04,000700,2,0.599088692159,4,0,-0.0651340996169,-0.0651340996169,-0.00286482866453,0,2026-05-06,2026-06-03,21
603311_2026-06-04,2026-06-04,603311,2,0.593511580553,5,0,0.0277923439958,0.0277923439958,-0.00286482866453,0,2026-05-06,2026-06-03,21
600936_2026-06-04,2026-06-04,600936,2,0.565504396113,6,0,-0.0455284552846,-0.0455284552846,-0.00286482866453,0,2026-05-06,2026-06-03,21
600688_2026-06-05,2026-06-05,600688,2,0.62474263453,1,0,0.00302114803625,0.00302114803625,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
600255_2026-06-05,2026-06-05,600255,3,0.609913051929,2,1,0.0896551724138,0.07,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
605162_2026-06-05,2026-06-05,605162,2,0.594657536215,3,0,-0.0449915110357,-0.0449915110357,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
001896_2026-06-05,2026-06-05,001896,2,0.583564120601,4,1,0.0850528434826,0.07,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
002787_2026-06-05,2026-06-05,002787,2,0.556431049829,5,0,0.0670498084291,0.0670498084291,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
600439_2026-06-05,2026-06-05,600439,2,0.549282210224,6,0,-0.0113636363636,-0.0113636363636,0.025619301511,0.333333333333,2026-05-06,2026-06-04,22
