test_date,history_date_count,meta_train_rows,meta_train_dates,meta_target7_rate,crossfit_stage1_models_fitted,min_base_train_dates,max_base_train_dates,stage2_weight_sum,stage2_weight_date_sum_min,stage2_weight_date_sum_max,self_label_leakage_rows,current_test_date_leakage_rows,stage2_score_min,stage2_score_max,stage2_score_std,stage2_exact_tie_rows,stage1_top10_rows,stage2_predictor_count,stage2_l2,stage2_positive_weight,stage2_tail_weighting
2026-06-01,18,130,18,0.415384615385,18,17,17,18,1,1,0,0,0.415001487658,0.433792241614,0.00693563075871,0,4,3,0.3,1,NONE
2026-06-02,19,134,19,0.410447761194,19,18,18,19,1,1,0,0,0.402082790718,0.423830226636,0.010873717959,0,2,3,0.3,1,NONE
2026-06-03,20,136,20,0.411764705882,20,19,19,20,1,1,0,0,0.401420698142,0.430921468021,0.0104802867967,0,7,3,0.3,1,NONE
2026-06-04,21,143,21,0.398601398601,21,20,20,21,1,1,0,0,0.389378683012,0.423580102598,0.0111316205277,0,6,3,0.3,1,NONE
2026-06-05,22,149,22,0.38255033557,22,21,21,22,1,1,0,0,0.371908478002,0.398091642067,0.00898139160668,0,6,3,0.3,1,NONE
2026-06-08,23,155,23,0.38064516129,23,22,22,23,1,1,0,0,0.370831317344,0.396670036662,0.0105568757657,0,3,3,0.3,1,NONE
2026-06-09,24,158,24,0.373417721519,24,23,23,24,1,1,0,0,0.355140564977,0.377440068649,0.00735003126354,0,9,3,0.3,1,NONE
2026-06-10,25,167,25,0.359281437126,25,24,24,25,1,1,0,0,0.344615850395,0.369707866689,0.00874255897883,0,7,3,0.3,1,NONE
2026-06-11,26,174,26,0.367816091954,26,25,25,26,1,1,0,0,0.352283476411,0.377402891741,0.0080399583628,0,10,3,0.3,1,NONE
2026-06-12,27,184,27,0.358695652174,27,26,26,27,1,1,0,0,0.345142669973,0.373859338262,0.00937479398309,0,8,3,0.3,1,NONE
2026-06-15,28,192,28,0.364583333333,28,27,27,28,1,1,0,0,0.351149178049,0.376757632627,0.0104675551985,0,3,3,0.3,1,NONE
2026-06-16,29,195,29,0.369230769231,29,28,28,29,1,1,0,0,0.357374060122,0.377407867197,0.00664055476891,0,7,3,0.3,1,NONE
2026-06-17,30,202,30,0.366336633663,30,29,29,30,1,1,0,0,0.365671296822,0.379446233491,0.00400185747654,0,10,3,0.3,1,NONE
2026-06-18,31,212,31,0.382075471698,31,30,30,31,1,1,0,0,0.373249770307,0.385607666808,0.00368930707013,0,10,3,0.3,1,NONE
2026-06-22,32,222,32,0.369369369369,32,31,31,32,1,1,0,0,0.358261638975,0.376415728951,0.00614747641913,0,7,3,0.3,1,NONE
2026-06-23,33,229,33,0.375545851528,33,32,32,33,1,1,0,0,0.372006525431,0.384515302297,0.0039480542289,0,10,3,0.3,1,NONE
2026-06-24,34,239,34,0.380753138075,34,33,33,34,1,1,0,0,0.376780689703,0.390314952538,0.00385748646526,0,10,3,0.3,1,NONE
2026-06-25,35,249,35,0.373493975904,35,34,34,35,1,1,0,0,0.367511802175,0.377553152707,0.00340821438396,0,9,3,0.3,1,NONE
2026-06-26,36,258,36,0.375968992248,36,35,35,36,1,1,0,0,0.370082054698,0.382630741236,0.00456857521269,0,10,3,0.3,1,NONE
2026-06-29,37,268,37,0.369402985075,37,36,36,37,1,1,0,0,0.361592655106,0.378918177564,0.00661118294828,0,5,3,0.3,1,NONE
2026-06-30,38,273,38,0.369963369963,38,37,37,38,1,1,0,0,0.368752876788,0.379482853236,0.00368774818347,0,7,3,0.3,1,NONE
