signal_date,event_id,code,stage1_rank,stage2_rank_within_top10,control_top3,full_reranker_top3,veto_only_top3,membership_action,target7,raw_repair_return,capped_opportunity_return_7
2026-06-18,603186_2026-06-18,603186,1,2,True,True,True,PRESERVED,0,0.0454831800428,0.0454831800428
2026-06-18,002741_2026-06-18,002741,2,5,True,False,False,VETOED,0,-0.0204131227217,-0.0204131227217
2026-06-18,600110_2026-06-18,600110,3,1,True,True,True,PRESERVED,0,-0.0444572748268,-0.0444572748268
2026-06-18,603002_2026-06-18,603002,4,4,False,False,True,BACKFILLED,1,0.117920540997,0.07
2026-06-18,603115_2026-06-18,603115,6,3,False,True,False,FULL_RERANKER_ONLY_PROMOTED,0,0.0322945682451,0.0322945682451
2026-06-24,603757_2026-06-24,603757,1,4,True,False,False,VETOED,0,0.0516980613227,0.0516980613227
2026-06-24,600851_2026-06-24,600851,2,1,True,True,True,PRESERVED,0,-0.036815920398,-0.036815920398
2026-06-24,000070_2026-06-24,000070,3,2,True,True,True,PRESERVED,0,-0.0225029609159,-0.0225029609159
2026-06-24,600172_2026-06-24,600172,4,5,False,False,True,BACKFILLED,0,0.0564468211527,0.0564468211527
2026-06-24,000783_2026-06-24,000783,7,3,False,True,False,FULL_RERANKER_ONLY_PROMOTED,1,0.091103965702,0.07
2026-06-25,605069_2026-06-25,605069,1,1,True,True,True,PRESERVED,1,0.108333333333,0.07
2026-06-25,600909_2026-06-25,600909,2,3,True,True,True,PRESERVED,1,0.07,0.07
2026-06-25,600379_2026-06-25,600379,3,4,True,False,False,VETOED,0,-0.0113182423435,-0.0113182423435
2026-06-25,002580_2026-06-25,002580,4,2,False,True,True,BACKFILLED,0,-0.12269446672,-0.12269446672
2026-06-30,601133_2026-06-30,601133,1,1,True,True,True,PRESERVED,0,-0.0627906976744,-0.0627906976744
2026-06-30,603650_2026-06-30,603650,2,4,True,False,False,VETOED,0,0.0474406991261,0.0474406991261
2026-06-30,603163_2026-06-30,603163,3,2,True,True,True,PRESERVED,0,-0.0287162162162,-0.0287162162162
2026-06-30,603956_2026-06-30,603956,4,3,False,True,True,BACKFILLED,0,0.0395387149918,0.0395387149918
