factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
active_money_score,50-60,406,37,22,0.5945945945945946,6,0.2727272727272727,9.394426047275392,13.18114486636844,5.929411541703098,0.22829141700179614,8.27060829388117,0.8754420608719051,-7.001312985845536
active_money_score,60-70,576,44,26,0.5909090909090909,12,0.46153846153846156,8.697310041977895,11.877920358461523,8.194511538873222,1.7586403849456613,10.764966034991058,2.050013998900623,-5.707131003458188
active_money_score,70-80,488,81,48,0.5925925925925926,26,0.5416666666666666,8.318736675598853,11.513784240676943,8.982640522363736,2.045053467654924,11.552863259934506,0.8900768576538717,-6.309596739776346
active_money_score,<=50,617,0,0,,0,,9.965153084085458,13.766863284866716,,,,,
active_money_score,>80,875,157,69,0.4394904458598726,23,0.3333333333333333,7.748312333668257,10.88516122137752,5.92170183664292,-2.1141404225198968,7.530824759496959,-3.2601881851028165,-8.920813687109922
daily_rank,,2643,0,0,,0,,8.823037550896629,12.288690943279116,,,,,
daily_rank,1,12,12,4,0.3333333333333333,2,0.5,8.51200087247649,13.820291316133051,10.408847139122335,-1.1878009746218385,11.066443511004415,2.5266373789968823,-8.479821668475607
daily_rank,2,12,12,5,0.4166666666666667,2,0.4,11.058947656089982,15.964921824742305,6.295533943768953,-5.973133372709487,6.295533943768953,-12.005770754743878,-17.080895578377202
daily_rank,3,12,12,3,0.25,2,0.6666666666666666,8.43548969831902,16.462335508417677,8.048885693141393,-1.2751170408146326,13.414808301992702,-1.3751182267093007,-6.327436058344823
daily_rank,>3,283,283,153,0.5406360424028268,61,0.39869281045751637,7.641067680566057,9.913957361569823,7.0980967998381335,0.27108601542920796,9.28116977508797,-0.3635395252042526,-7.075196123905496
days_since_d0,0,1142,0,0,,0,,10.355347981193804,14.21721133556251,,,,,
days_since_d0,1,698,149,85,0.5704697986577181,41,0.4823529411764706,8.063150466586222,11.393010970653746,8.256814952927202,0.3541941891794314,10.94943878377918,-0.4055773432938864,-7.601000814538353
days_since_d0,2,490,112,46,0.4107142857142857,18,0.391304347826087,7.776235799962045,10.52294363028734,6.944384117755501,0.17064218243555446,9.231621985503757,1.1894963326373982,-6.240334687416762
days_since_d0,3,394,58,34,0.5862068965517241,8,0.23529411764705882,7.804775241262374,11.050673909145345,4.76463486218904,-1.0271208234146187,5.313233420673426,-3.8209401004544237,-8.460900436512727
days_since_d0,>3,238,0,0,,0,,6.2764174638919945,9.077020934254422,,,,,
graph_quality_score,50-60,455,1,1,1.0,1,1.0,8.295138262106994,11.43685454862283,7.618238033310076,7.336883162634744,11.697883658102203,-8.559667030520867,-8.559667030520867
graph_quality_score,60-70,409,53,32,0.6037735849056604,15,0.46875,9.574529263188333,12.675731218391777,6.4395959639718505,-0.8851415369135778,8.203898381969237,-2.8113322547355613,-8.268505893364111
graph_quality_score,70-80,276,39,20,0.5128205128205128,9,0.45,9.474289275585518,12.715086135810756,6.203399394395531,-0.16885892132048558,9.834197504203033,-0.9118752084039382,-7.2857224683459
graph_quality_score,<=50,1076,0,0,,0,,7.628090238076319,11.265530724362444,,,,,
graph_quality_score,>80,746,226,112,0.49557522123893805,42,0.375,9.79109798278139,13.16146163014761,7.5492431157292215,0.24463181179642504,9.509823770465365,0.06330890228595683,-7.160221202797085
invalid_distance_pct,1-2,303,22,2,0.09090909090909091,1,0.5,9.795978182092332,13.476270810808481,4.352273333635037,-7.478816205070398,4.352273333635037,-7.7392898522816616,-9.113326984473064
invalid_distance_pct,2-3,528,50,25,0.5,10,0.4,8.534184166963438,11.41153603565003,7.459250339424659,1.4672485568396012,9.813030626493383,-0.019478336077634068,-6.483562864884862
invalid_distance_pct,3-5,1707,207,125,0.6038647342995169,52,0.416,8.224856276383768,11.433260779327233,7.445354891733693,-0.00454464842735527,9.741959927992946,-0.13220400681303995,-7.448257025409196
invalid_distance_pct,<=1,244,18,2,0.1111111111111111,1,0.5,12.132688569732322,17.124032063507588,3.7139681476697994,1.5244858476902656,7.123059056760706,-1.803436230231814,-5.88230702180979
invalid_distance_pct,>5,180,22,11,0.5,3,0.2727272727272727,7.50816497041423,11.373271694175726,4.5441293468231985,-1.9245939706018391,4.5441293468231985,-6.688299534137511,-8.881691989775199
low_absorb_width_pct,1-2,303,22,2,0.09090909090909091,1,0.5,9.795978182092332,13.476270810808481,4.352273333635037,-7.478816205070398,4.352273333635037,-7.7392898522816616,-9.113326984473064
low_absorb_width_pct,2-3,528,50,25,0.5,10,0.4,8.534184166963438,11.41153603565003,7.459250339424659,1.4672485568396012,9.813030626493383,-0.019478336077634068,-6.483562864884862
low_absorb_width_pct,3-5,1707,207,125,0.6038647342995169,52,0.416,8.224856276383768,11.433260779327233,7.445354891733693,-0.00454464842735527,9.741959927992946,-0.13220400681303995,-7.448257025409196
low_absorb_width_pct,<=1,244,18,2,0.1111111111111111,1,0.5,12.132688569732322,17.124032063507588,3.7139681476697994,1.5244858476902656,7.123059056760706,-1.803436230231814,-5.88230702180979
low_absorb_width_pct,>5,180,22,11,0.5,3,0.2727272727272727,7.50816497041423,11.373271694175726,4.5441293468231985,-1.9245939706018391,4.5441293468231985,-6.688299534137511,-8.881691989775199
position_level,normal,319,319,165,0.5172413793103449,67,0.40606060606060607,7.832286559005705,10.534860555221872,7.171324398363592,0.018387505916303733,9.30913238943818,-0.664661856327942,-7.398855028474932
position_level,small,132,0,0,,0,,8.217802965965546,10.360822087751778,,,,,
position_level,zero,2511,0,0,,0,,8.854981159537532,12.390441718540856,,,,,
signal_type,D2_LOW_ABSORB,319,319,165,0.5172413793103449,67,0.40606060606060607,7.832286559005705,10.534860555221872,7.171324398363592,0.018387505916303733,9.30913238943818,-0.664661856327942,-7.398855028474932
signal_type,D2_WATCH_OR_SMALL,132,0,0,,0,,8.217802965965546,10.360822087751778,,,,,
signal_type,WATCH_ONLY,2511,0,0,,0,,8.854981159537532,12.390441718540856,,,,,
support_score,50-60,49,0,0,,0,,5.407707098310596,8.048125402623686,,,,,
support_score,60-70,197,32,25,0.78125,8,0.32,8.410393616649879,11.853646384124602,8.045628733581564,2.115916793400925,10.819306698936968,3.381104887600593,-5.7345243962497925
support_score,70-80,173,62,42,0.6774193548387096,17,0.40476190476190477,7.444305641010937,9.84338198179622,5.930689369268044,-0.21032827688062164,8.317677246326449,0.3991328330788284,-6.627832587291542
