factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
active_money_score,50-60,406,3,19,152,232,0,0.007389162561576354,0.046798029556650245,0.37438423645320196,-2.2643768195868974,-1.8270255552536416,6.460375505548905,3.8941635201156486,-2.560567194104006
active_money_score,60-70,576,10,16,207,343,0,0.017361111111111112,0.027777777777777776,0.359375,1.754448945696531,2.312219077363986,6.139984320740169,6.694780744701226,1.6207088349075716
active_money_score,70-80,488,21,27,157,275,8,0.0430327868852459,0.055327868852459015,0.32172131147540983,2.134698773228267,2.6158686976385237,5.945534949961666,6.463335824364676,2.4123240163182156
active_money_score,<=50,617,0,0,265,352,0,0.0,0.0,0.42949756888168555,,,6.967538959409268,,
active_money_score,>80,875,15,54,303,501,2,0.017142857142857144,0.061714285714285715,0.3462857142857143,-0.45327525967246735,-1.4234875444839925,5.629603780198441,4.324396942248551,-1.0152360634447875
allowed_bool,False,2511,0,0,956,1545,10,0.0,0.0,0.3807248108323377,,,6.242969070185854,,
allowed_bool,True,451,49,116,128,158,0,0.10864745011086474,0.2572062084257206,0.2838137472283814,0.40599351972578573,0.202331631178354,5.794568056573679,5.262784275087459,0.19118918692662265
candidate_d3_close_return_pct,,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
candidate_d3_close_return_pct,0-3,419,9,16,103,291,0,0.021479713603818614,0.03818615751789976,0.2458233890214797,3.7727647598501766,2.625631661844441,5.519512728821243,6.313619559594258,2.371220047952818
candidate_d3_close_return_pct,3-7,442,12,3,274,153,0,0.027149321266968326,0.006787330316742082,0.6199095022624435,6.089684495110564,7.0,8.323379856646518,8.47168159136113,5.79082412455484
candidate_d3_close_return_pct,7-10,223,7,1,215,0,0,0.03139013452914798,0.004484304932735426,0.9641255605381166,6.832205029013541,7.0,11.325461142184885,10.144717734346614,8.50395363811641
candidate_d3_close_return_pct,<=0,1501,12,96,134,1259,0,0.007994670219853431,0.06395736175882745,0.08927381745502998,-2.188269406483949,-2.1125517282594153,2.376779687191444,3.298863194545391,-2.977344118429222
candidate_d3_close_return_pct,>10,367,9,0,358,0,0,0.02452316076294278,0.0,0.9754768392370572,7.0,7.0,16.736463114043868,16.223191738164672,15.436098717908274
candidate_d3_max_return_pct,,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
candidate_d3_max_return_pct,0-3,742,1,54,0,687,0,0.0013477088948787063,0.07277628032345014,0.0,-2.086523900780118,-1.5243943315368824,1.602845417136451,3.007732126615887,-2.15526714979416
candidate_d3_max_return_pct,3-7,768,14,28,0,726,0,0.018229166666666668,0.036458333333333336,0.0,1.777993081709868,2.192004693719818,4.882016466855823,6.206754254760538,0.7792909666438754
candidate_d3_max_return_pct,7-10,462,16,3,443,0,0,0.03463203463203463,0.006493506493506494,0.9588744588744589,6.129090843123093,7.0,8.550709659278201,9.095952580789653,3.5509603212614884
candidate_d3_max_return_pct,<=0,321,0,31,0,290,0,0.0,0.09657320872274143,0.0,-4.367119037209421,-4.553201850499178,-1.271876756542884,0.3518380856481806,-4.367119037209421
candidate_d3_max_return_pct,>10,659,18,0,641,0,0,0.027314112291350532,0.0,0.9726858877086495,7.0,7.0,14.7893178577432,14.36224333530652,10.292674029558476
consecutive_boards,<=50,2962,49,116,1084,1703,10,0.016542876434841324,0.03916272788656313,0.3659689399054693,0.40599351972578573,0.202331631178354,6.174463359772882,5.262784275087459,0.19118918692662265
daily_rank,,2643,0,0,1005,1628,10,0.0,0.0,0.38024971623155507,,,6.240991608809062,,
daily_rank,1,12,2,2,4,4,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.409841444476248,2.5338313182268895,6.089279806905555,7.125285173931394,2.4204126288074503
daily_rank,2,12,2,3,5,2,0,0.16666666666666666,0.25,0.4166666666666667,1.395637474617239,-0.6627088223111977,8.224260626308089,6.212695340980049,-1.0023823980688351
daily_rank,3,12,2,1,5,4,0,0.16666666666666666,0.08333333333333333,0.4166666666666667,4.623338704894922,7.0,5.919503767090194,8.048885693141393,2.875575923269743
daily_rank,>3,283,43,110,65,65,0,0.1519434628975265,0.38869257950530034,0.22968197879858657,0.2647147809743705,0.202331631178354,5.482997885694867,5.1284191562704615,0.11927940881175106
days_since_d0,0,1142,0,0,549,583,10,0.0,0.0,0.4807355516637478,,,7.64050193275285,,
days_since_d0,1,698,33,52,220,393,0,0.04727793696275072,0.07449856733524356,0.3151862464183381,1.163429526359806,1.1842689228782843,5.5600605863313,5.865962506524818,0.7853021579523503
days_since_d0,2,490,13,33,147,297,0,0.026530612244897958,0.0673469387755102,0.3,0.28526437837526697,-0.9973302865032951,5.429425130629393,5.259387761887151,-0.049627042681888674
days_since_d0,3,394,3,31,121,239,0,0.007614213197969543,0.07868020304568528,0.30710659898477155,-1.32425707032621,-1.4536231378780684,5.510031008203282,3.7594339790591795,-0.9682830476379456
days_since_d0,>3,238,0,0,47,191,0,0.0,0.0,0.19747899159663865,,,3.6372892003091617,,
eligible_for_trade,False,2643,0,0,1005,1628,10,0.0,0.0,0.38024971623155507,,,6.240991608809062,,
eligible_for_trade,True,319,49,116,79,75,0,0.1536050156739812,0.36363636363636365,0.2476489028213166,0.40599351972578573,0.202331631178354,5.625344614593397,5.262784275087459,0.19118918692662265
executed,False,2797,0,0,1084,1703,10,0.0,0.0,0.3875580979621023,,,6.3001594577393565,,
executed,True,165,49,116,0,0,0,0.296969696969697,0.703030303030303,0.0,0.40599351972578573,0.202331631178354,4.051341995939178,5.262784275087459,0.19118918692662265
failure_reason,,2675,40,2,1005,1628,0,0.014953271028037384,0.0007476635514018691,0.37570093457943926,6.698575286999018,7.0,6.2886672453669465,10.917831117559354,6.049786850061944
failure_reason,break_invalid,28,0,0,3,25,0,0.0,0.0,0.10714285714285714,,,0.9428424789025129,,
failure_reason,data_issue,10,0,0,0,0,10,0.0,0.0,0.0,,,,,
failure_reason,not_triggered,38,0,0,0,38,0,0.0,0.0,0.0,,,3.5415299292614772,,
failure_reason,stop_hit,107,9,98,0,0,0,0.08411214953271028,0.9158878504672897,0.0,-2.061563971384687,-2.0885050049884946,2.172239258418783,3.2097512088273272,-2.1381396775576293
failure_reason,unknown,9,0,9,0,0,0,0.0,1.0,0.0,2.002899896317893,2.1669844906057056,3.2719373377128913,5.007454469727929,2.002899896317893
failure_reason,weak_repair,7,0,7,0,0,0,0.0,1.0,0.0,-1.6842836325576547,-1.5679249222906866,2.420059611059444,3.0428612685517584,-1.6842836325576547
failure_reason,zone_too_low,88,0,0,76,12,0,0.0,0.0,0.8636363636363636,,,10.966315636410483,,
graph_quality_score,50-60,455,0,1,160,290,4,0.0,0.002197802197802198,0.3516483516483517,-2.0885050049884946,-2.0885050049884946,6.00222624830171,1.006398572440026,-2.0885050049884946
graph_quality_score,60-70,409,7,25,153,224,0,0.017114914425427872,0.061124694376528114,0.3740831295843521,-0.20206910094015074,0.36207244279049533,6.537919316417294,4.015729943598874,-0.37926149465449066
graph_quality_score,70-80,276,8,12,120,136,0,0.028985507246376812,0.043478260869565216,0.43478260869565216,1.5798931295671894,1.3634944154691908,7.006265239947705,5.309271151215455,-0.2848695723749164
graph_quality_score,<=50,1076,0,0,324,750,2,0.0,0.0,0.30111524163568776,,,5.2609132475797535,,
graph_quality_score,>80,746,34,78,327,303,4,0.045576407506702415,0.10455764075067024,0.4383378016085791,0.392373074986466,-0.10747282625999664,7.091715317418577,5.648787728549264,0.45954000111002935
invalid_distance_pct,1-2,303,1,1,125,172,4,0.0033003300330033004,0.0033003300330033004,0.41254125412541254,-0.2910306792319548,-0.2910306792319548,6.711805867698677,4.352273333635037,-2.4256274491720076
invalid_distance_pct,2-3,528,7,18,185,318,0,0.013257575757575758,0.03409090909090909,0.3503787878787879,0.5631149932182946,1.8441279368695884,6.002734948473878,5.21636447918419,0.15156505863424588
