factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
active_money_score,50-60,406,60,35,0.5833333333333334,16,0.45714285714285713,9.394426047275392,13.18114486636844,7.774234983016778,2.163275363888994,10.446527626250534,2.542820264276166,-6.587023153948323
active_money_score,60-70,576,59,40,0.6779661016949152,20,0.5,8.697310041977895,11.877920358461523,8.173018395983394,2.3872888848797205,10.58195170292971,2.2103284338773217,-5.256334537245091
active_money_score,70-80,488,87,50,0.5747126436781609,26,0.52,8.318736675598853,11.513784240676943,8.558972955651239,1.5806816267504014,10.711975516182733,1.1087000186718923,-6.050029645517089
active_money_score,<=50,617,59,41,0.6949152542372882,16,0.3902439024390244,9.965153084085458,13.766863284866716,7.046666864161016,0.37298507359663735,9.765197493252929,1.004734327589131,-7.724560175532559
active_money_score,>80,875,69,38,0.5507246376811594,15,0.39473684210526316,7.748312333668257,10.88516122137752,6.436406619277704,-2.540204720216808,8.040381766635177,-4.111207113564073,-9.814570962385709
daily_rank,,2628,0,0,,0,,8.74003511467705,12.199193721401466,,,,,
daily_rank,1,12,12,3,0.25,3,1.0,10.682538587879833,17.38350440400576,12.070882788355567,4.273436152932493,16.144336865139252,-0.08218466982063195,-8.742568700475458
daily_rank,2,11,11,4,0.36363636363636365,2,0.5,14.086031259786022,19.33435958921933,7.518998015720736,-7.499663814720728,7.518998015720736,-15.966681006721142,-20.11464132570951
daily_rank,3,11,11,8,0.7272727272727273,3,0.375,8.35667719396503,11.637151391458064,5.4683531032258585,0.6184902154681526,9.39457393174441,0.5709511329777981,-8.752001366063023
daily_rank,>3,300,300,189,0.63,85,0.4497354497354497,8.24361699187767,10.76655311501713,7.674227173211021,0.9589169745734775,9.929880005758436,0.9384166858550105,-6.646873309992448
days_since_d0,0,1142,0,0,,0,,10.355347981193804,14.21721133556251,,,,,
days_since_d0,1,698,152,103,0.6776315789473685,58,0.5631067961165048,8.063150466586222,11.393010970653746,8.541093203380726,1.2633124849841433,11.918122656127183,2.1838619069731013,-7.028088020433328
days_since_d0,2,490,118,58,0.4915254237288136,21,0.3620689655172414,7.776235799962045,10.52294363028734,6.928755934794892,0.016546530003575897,8.344291411322494,-0.2324188933720775,-6.765824539559239
days_since_d0,3,394,64,43,0.671875,14,0.32558139534883723,7.804775241262374,11.050673909145345,6.485208298240022,0.8819534517319277,7.415753017739437,-2.1777301383389767,-7.363963919122617
days_since_d0,>3,238,0,0,,0,,6.2764174638919945,9.077020934254422,,,,,
graph_quality_score,50-60,455,0,0,,0,,8.295138262106994,11.43685454862283,,,,,
graph_quality_score,60-70,409,87,57,0.6551724137931034,26,0.45614035087719296,9.574529263188333,12.675731218391777,7.096924062699943,1.5890195579976152,8.926446146436087,0.7473991440184415,-5.878287167642569
graph_quality_score,70-80,276,37,22,0.5945945945945946,10,0.45454545454545453,9.474289275585518,12.715086135810756,6.60029935151019,-0.968266564420971,11.300999026388554,0.9747473834857345,-7.835456537752837
graph_quality_score,<=50,1076,0,0,,0,,7.628090238076319,11.265530724362444,,,,,
graph_quality_score,>80,746,210,125,0.5952380952380952,57,0.456,9.79109798278139,13.16146163014761,8.085865149468148,0.7978610618355549,10.183868050185561,0.43015112806668476,-7.404151404281221
invalid_distance_pct,1-2,303,25,8,0.32,4,0.5,9.795978182092332,13.476270810808481,7.161914351658282,0.7873591023492152,9.251955176352125,0.6327784487769579,-6.250293570467166
invalid_distance_pct,2-3,528,75,46,0.6133333333333333,18,0.391304347826087,8.534184166963438,11.41153603565003,7.784780073310111,1.5778158873934078,9.719348159698248,1.2859396262971932,-6.060904774019969
invalid_distance_pct,3-5,1707,219,149,0.680365296803653,70,0.4697986577181208,8.224856276383768,11.433260779327233,7.478111006740638,0.44302213822203435,9.922661715724237,0.19787552597391206,-7.4046826348872585
invalid_distance_pct,<=1,244,15,1,0.06666666666666667,1,1.0,12.132688569732322,17.124032063507588,30.83066280075284,24.116180884073458,30.83066280075284,24.116180884073458,-0.8596571544839504
invalid_distance_pct,>5,180,0,0,,0,,7.50816497041423,11.373271694175726,,,,,
low_absorb_width_pct,1-2,303,25,8,0.32,4,0.5,9.795978182092332,13.476270810808481,7.161914351658282,0.7873591023492152,9.251955176352125,0.6327784487769579,-6.250293570467166
