count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,signal_date
62,0.8218,-0.9631,6.6405,5.1376,-5.0317,0.1935,0.3387,0.4355,0.2581,0.0,,,0.0,0.0,1.0,1.0,64.0992,60.875,55.0645,40.0,88.5161,91.0,76.6129,78.0,56.7742,60.0,3.2292,3.6053,3.2292,3.6053,WATCH_ONLY,zero,A,ordinary,2026-06-05
95,-0.5674,-3.125,6.1366,4.0816,-5.503,0.2,0.5158,0.3474,0.2632,0.0,1.0,1.0,1.5474,3.0,1.0,1.0,61.5426,63.6,53.2632,58.0,67.2421,89.0,74.8211,80.0,59.1053,60.0,3.203,3.4445,3.203,3.4445,WATCH_ONLY,zero,A,ordinary,2026-06-08
185,-1.3785,-2.3438,5.6445,4.5614,-5.5471,0.1243,0.4432,0.3243,0.1946,0.0216,3.0,3.0,1.1514,0.0,1.0486,1.0,64.9624,65.05,57.8811,58.0,72.2757,91.0,70.3027,70.0,63.7838,70.0,3.3132,3.3999,3.3132,3.3999,WATCH_ONLY,zero,A,ordinary,2026-06-09
188,-1.7231,-2.581,5.3853,4.7072,-5.5767,0.0957,0.4787,0.3085,0.2074,0.0638,8.5,8.5,0.8511,1.0,1.133,1.0,62.3303,62.025,53.9787,52.0,56.7234,61.0,68.5745,70.0,64.016,70.0,3.3125,3.4604,3.3125,3.4604,WATCH_ONLY,zero,A,ordinary,2026-06-10
228,1.8957,1.5828,6.0912,5.5869,-4.3851,0.2018,0.2018,0.4079,0.1579,0.0439,11.0,11.0,1.4386,2.0,1.1711,1.0,60.5191,62.075,51.8947,52.0,51.7237,59.0,66.5789,64.0,64.2763,70.0,3.387,3.6762,3.387,3.6762,WATCH_ONLY,zero,A,ordinary,2026-06-11
289,3.9739,3.0116,7.4137,6.117,-2.7535,0.2976,0.1903,0.4498,0.2872,0.0346,10.0,10.0,1.8166,2.0,1.173,1.0,58.4607,60.1,48.8512,52.0,50.6125,47.0,67.7163,68.0,65.3806,70.0,3.6132,3.9589,3.6132,3.9589,WATCH_ONLY,zero,A,ordinary,2026-06-12
236,3.1503,1.7224,7.02,5.2401,-2.4506,0.2881,0.2331,0.4322,0.2881,0.0212,3.0,3.0,1.5593,0.0,1.0254,1.0,67.0636,66.925,58.2119,58.0,78.4025,91.0,66.7203,62.0,64.1314,70.0,2.9101,3.0765,2.9101,3.0765,WATCH_ONLY,zero,A,ordinary,2026-06-15
268,1.6275,0.7764,6.1936,5.102,-3.382,0.1978,0.2537,0.3918,0.2388,0.0634,12.5,12.5,1.3619,1.0,1.097,1.0,65.5938,65.025,56.0672,58.0,69.1978,89.0,66.3507,64.0,64.4776,70.0,3.1179,3.2761,3.1179,3.2761,WATCH_ONLY,zero,A,ordinary,2026-06-16
236,2.4696,1.7651,6.3725,5.3386,-4.8339,0.2542,0.2458,0.3729,0.2458,0.1144,26.5,26.5,1.0975,1.0,1.2203,1.0,68.0358,69.6,59.3729,58.0,68.2373,89.0,68.1949,70.0,65.4661,70.0,2.953,3.1391,2.953,3.1391,WATCH_ONLY,zero,A,ordinary,2026-06-17
286,0.4761,-0.7227,7.0387,5.3424,-4.0705,0.2098,0.3601,0.4231,0.2692,0.1084,32.0,32.0,1.5699,2.0,1.2343,1.0,67.8135,68.925,62.6923,70.0,60.2238,78.0,63.993,62.0,65.6818,70.0,3.2892,3.4813,3.2892,3.4813,WATCH_ONLY,zero,A,ordinary,2026-06-18
171,1.3027,0.9498,6.3804,5.8496,-5.1413,0.2456,0.3158,0.4211,0.2456,0.0,,,1.2865,0.0,1.0,1.0,74.2102,76.3,75.3099,78.0,81.1988,91.0,73.1111,74.0,62.0468,60.0,3.1332,3.3548,3.1332,3.3548,WATCH_ONLY,zero,A,ordinary,2026-06-22
181,1.7911,0.5033,7.0187,5.6338,-5.0112,0.2376,0.2597,0.4199,0.2597,0.0829,10.0,10.0,0.5414,1.0,1.0994,1.0,67.192,67.8,63.1492,70.0,59.3923,69.0,73.8674,74.0,63.1768,70.0,3.2196,3.5011,3.2196,3.5011,WATCH_ONLY,zero,A,ordinary,2026-06-23
245,-1.5501,-3.0794,6.2733,4.878,-5.3013,0.1592,0.5061,0.3796,0.2122,0.1061,23.0,23.0,0.9878,1.0,1.1714,1.0,70.171,73.3,69.0122,78.0,70.9061,89.0,72.7918,74.0,64.7551,70.0,3.4602,3.7671,3.4602,3.7671,WATCH_ONLY,zero,A,ordinary,2026-06-24
292,-2.1643,-3.2402,3.3483,2.1184,-4.6718,0.0719,0.5205,0.2158,0.0548,0.161,32.5,32.5,1.5,1.0,1.2089,1.0,68.6152,71.7,66.6918,70.0,65.1815,77.0,67.274,66.0,65.4966,70.0,3.7456,4.0351,3.7456,4.0351,WATCH_ONLY,zero,A,ordinary,2026-06-25
