count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,bucket_type,bucket
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,72.39,70.55,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,candidate_d3_drawdown,data_issue
1073,-0.3076,-1.6694,4.5498,3.5564,-4.8331,0.0913,0.3514,0.2349,0.0923,0.0764,22.7705,17.0,1.4091,1.0,1.1174,1.0,64.9824,65.85,58.5033,58.0,63.4371,81.0,69.3439,70.0,63.9935,70.0,3.4038,3.5668,3.4038,3.5668,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-3_to_-7
434,-5.0081,-6.2146,2.3234,1.7964,-8.38,0.0115,0.788,0.0899,0.0184,0.0668,22.9545,18.0,1.371,1.0,1.1705,1.0,65.9767,67.225,60.2995,60.0,66.5184,89.0,71.7604,72.0,63.2028,70.0,3.3922,3.6528,3.3922,3.6528,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-7_to_-10
751,4.5996,3.7338,8.3744,7.8264,-1.6893,0.2676,0.0,0.5792,0.3196,0.0919,21.0,17.0,1.3569,1.0,1.0999,1.0,65.0669,65.55,57.5632,58.0,63.1891,79.0,67.1744,66.0,64.8269,70.0,3.3223,3.5095,3.3223,3.5095,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_0_to_-3
299,-10.2621,-10.3367,0.7758,0.3033,-12.8182,0.0,0.9532,0.0602,0.01,0.0535,24.025,19.0,1.3478,1.0,1.1472,1.0,67.7617,69.0,64.2542,70.0,66.3946,89.0,73.0301,74.0,64.0468,70.0,3.2535,3.464,3.2535,3.464,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_<-10
395,11.4789,10.2007,14.7229,14.5149,2.5678,0.7241,0.0,0.9544,0.7823,0.0203,26.1724,25.0,0.7165,0.0,1.1924,1.0,68.2959,70.35,62.3241,70.0,72.3975,91.0,63.7114,62.0,65.0759,70.0,2.9441,3.2835,2.9441,3.2835,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_none_or_positive
2758,0.8531,-0.0973,6.2163,4.9619,-4.3452,0.2027,0.3397,0.3814,0.2252,0.0,19.4308,14.0,1.256,1.0,1.1345,1.0,65.0584,65.6,58.1755,58.0,65.1904,89.0,68.8905,70.0,64.0809,70.0,3.285,3.5,3.285,3.5,WATCH_ONLY,zero,A,ordinary,executed_realized_d3_return,not_executed
35,-1.819,-1.8735,2.6354,2.459,-4.474,0.0,0.2286,0.0571,0.0,1.0,26.1714,24.0,1.8286,2.0,1.1429,1.0,77.8886,77.85,81.2,82.0,72.3714,77.0,67.7143,70.0,64.5714,70.0,3.4754,3.75,3.4754,3.75,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-3_to_0
36,-5.2938,-5.5848,1.7502,1.2862,-6.7025,0.0,0.8889,0.0,0.0,1.0,28.8889,26.0,1.8889,2.0,1.1667,1.0,76.7917,76.05,78.7778,82.0,67.9444,74.0,67.6667,68.0,67.2222,70.0,3.4777,3.4334,3.4777,3.4334,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-7_to_-3
34,1.3777,1.8495,3.8362,3.9185,-3.8787,0.0,0.0294,0.0882,0.0,1.0,23.5588,17.0,1.7353,1.5,1.0588,1.0,76.6382,75.325,78.8235,82.0,65.6471,69.0,69.4118,70.0,66.0294,70.0,3.3887,3.2029,3.3887,3.2029,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_0_to_3
