trade_date,code,name,d0_date,days_since_d0,consecutive_boards,signal_type,allowed,position_level,total_score,top3_precision_score,graph_quality_score,active_money_score,active_cooling_score,support_score,theme_score,trend_hold_score,entry_width_score,low_absorb_width_pct,invalid_distance_pct,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,support_type,low_absorb_min,low_absorb_max,invalid_price,key_zones_json,reasons
2026-06-25,000012,南  玻Ａ,2026-06-22,3,1,D2_LOW_ABSORB,True,normal,74.4,74.4,82.0,58.0,90.0,69.0,60.0,65.0,65.0,3.0027,3.1447,3.9604,7.3357,0.2306,A,4.619999999999999,4.759025258395021,4.619999999999999,"{""d1_low"": 4.62, ""d1_open"": 4.67, ""d1_close"": 4.77, ""d1_vwap"": 4.702732663870012, ""prev_close"": 4.63, ""ma5"": 4.619999999999999, ""ma10"": 4.444000000000001, ""d1_intraday_vwap"": 4.759025258395021, ""d1_first_5m_low"": 4.67, ""low_absorb_min"": 4.619999999999999, ""low_absorb_max"": 4.759025258395021, ""invalid_price"": 4.619999999999999}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; theme: 所属行业/题材有联动: 玻璃玻纤 4 家; factor: top3_precision_score=74.40; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.00; factor: invalid_distance_pct=3.14; factor: d1_low_ma10_pct=3.96; factor: d1_close_ma10_pct=7.34; factor: d1_close_vwap_pct=0.23
2026-06-25,000048,京基智农,2026-06-25,0,1,WATCH_ONLY,False,zero,54.75,54.75,90.0,64.0,90.0,91.0,60.0,65.0,25.0,5.0421,9.0991,3.0509,13.2545,4.0452,A,20.28,21.30253841770252,20.28,"{""d1_low"": 20.3, ""d1_open"": 20.59, ""d1_close"": 22.31, ""d1_vwap"": 21.30253841770252, ""prev_close"": 20.28, ""ma5"": 20.572000000000003, ""ma10"": 19.699, ""d1_intraday_vwap"": 21.442606590371206, ""d1_first_5m_low"": 20.3, ""low_absorb_min"": 20.28, ""low_absorb_max"": 21.30253841770252, ""invalid_price"": 20.28}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 养殖业 2 家; factor: top3_precision_score=54.75; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=25.00; factor: low_absorb_width_pct=5.04; factor: invalid_distance_pct=9.10; factor: d1_low_ma10_pct=3.05; factor: d1_close_ma10_pct=13.25; factor: d1_close_vwap_pct=4.05; soft_filter: 低吸区间/失效距离偏宽，Top3 精度惩罚; soft_filter: D1 收盘相对 VWAP 偏高，空间透支惩罚; hard_filter: 今日仍涨停，等待首次分歧日
2026-06-25,000060,中金岭南,2026-06-22,3,1,WATCH_ONLY,False,zero,42.3,42.3,70.0,40.0,65.0,21.0,70.0,40.0,60.0,3.623,1.005,-0.9054,0.1006,-1.7973,C,7.88,8.175999999999998,7.88,"{""d1_low"": 7.88, ""d1_open"": 8.09, ""d1_close"": 7.96, ""d1_vwap"": 8.044048110895366, ""prev_close"": 8.17, ""ma5"": 8.175999999999998, ""ma10"": 7.952, ""d1_intraday_vwap"": 8.105680373995872, ""d1_first_5m_low"": 8.01, ""low_absorb_min"": 7.88, ""low_absorb_max"": 8.175999999999998, ""invalid_price"": 7.88}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 工业金属 11 家; factor: top3_precision_score=42.30; factor: active_cooling_score=65.00; factor: trend_hold_score=40.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=3.62; factor: invalid_distance_pct=1.01; factor: d1_low_ma10_pct=-0.91; factor: d1_close_ma10_pct=0.10; factor: d1_close_vwap_pct=-1.80; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤
2026-06-25,000070,特发信息,2026-06-23,2,2,D2_LOW_ABSORB,True,normal,93.3,93.3,82.0,58.0,90.0,77.0,70.0,95.0,65.0,3.0204,4.1502,11.8904,16.5976,1.0728,A,23.741999999999997,24.50707649804839,23.741999999999997,"{""d1_low"": 23.77, ""d1_open"": 25.33, ""d1_close"": 24.77, ""d1_vwap"": 24.29260151446354, ""prev_close"": 25.33, ""ma5"": 23.741999999999997, ""ma10"": 21.244, ""d1_intraday_vwap"": 24.50707649804839, ""d1_first_5m_low"": 23.77, ""low_absorb_min"": 23.741999999999997, ""low_absorb_max"": 24.50707649804839, ""invalid_price"": 23.741999999999997}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 通信设备 11 家; factor: top3_precision_score=93.30; factor: active_cooling_score=90.00; factor: trend_hold_score=95.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.02; factor: invalid_distance_pct=4.15; factor: d1_low_ma10_pct=11.89; factor: d1_close_ma10_pct=16.60; factor: d1_close_vwap_pct=1.07
2026-06-25,000510,新金路,2026-06-22,3,1,D2_WATCH_OR_SMALL,True,small,71.75,71.75,90.0,54.0,90.0,91.0,70.0,65.0,45.0,4.5658,9.9615,4.3691,15.9162,2.9626,A,23.41,24.53,23.41,"{""d1_low"": 23.41, ""d1_open"": 24.29, ""d1_close"": 26.0, ""d1_vwap"": 25.075005087979928, ""prev_close"": 24.53, ""ma5"": 24.208, ""ma10"": 22.43, ""d1_intraday_vwap"": 25.251893239421445, ""d1_first_5m_low"": 23.54, ""low_absorb_min"": 23.41, ""low_absorb_max"": 24.53, ""invalid_price"": 23.41}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 化学原料 18 家; factor: top3_precision_score=71.75; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=45.00; factor: low_absorb_width_pct=4.57; factor: invalid_distance_pct=9.96; factor: d1_low_ma10_pct=4.37; factor: d1_close_ma10_pct=15.92; factor: d1_close_vwap_pct=2.96
2026-06-25,000519,中兵红箭,2026-06-22,3,1,WATCH_ONLY,False,zero,21.3,21.3,82.0,92.0,30.0,77.0,60.0,55.0,45.0,4.5855,4.8059,0.1702,5.2273,0.9143,A,20.6,21.59,20.6,"{""d1_low"": 20.6, ""d1_open"": 21.5, ""d1_close"": 21.64, ""d1_vwap"": 21.333636427333943, ""prev_close"": 21.59, ""ma5"": 21.57, ""ma10"": 20.565, ""d1_intraday_vwap"": 21.44392857315432, ""d1_first_5m_low"": 20.6, ""low_absorb_min"": 20.6, ""low_absorb_max"": 21.59, ""invalid_price"": 20.6}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 地面兵装 2 家; factor: top3_precision_score=21.30; factor: active_cooling_score=30.00; factor: trend_hold_score=55.00; factor: entry_width_score=45.00; factor: low_absorb_width_pct=4.59; factor: invalid_distance_pct=4.81; factor: d1_low_ma10_pct=0.17; factor: d1_close_ma10_pct=5.23; factor: d1_close_vwap_pct=0.91; soft_filter: 活跃资金过热，Top3 精度强惩罚; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级
2026-06-25,000545,金浦钛业,2026-06-22,3,1,WATCH_ONLY,False,zero,46.75,46.75,64.0,66.0,90.0,77.0,70.0,40.0,60.0,3.9098,3.4351,-1.0946,2.4238,0.0658,A,2.53,2.634,2.53,"{""d1_low"": 2.53, ""d1_open"": 2.62, ""d1_close"": 2.62, ""d1_vwap"": 2.604579999936469, ""prev_close"": 2.66, ""ma5"": 2.634, ""ma10"": 2.5580000000000003, ""d1_intraday_vwap"": 2.6182778914893907, ""d1_first_5m_low"": 2.57, ""low_absorb_min"": 2.53, ""low_absorb_max"": 2.634, ""invalid_price"": 2.53}",graph: 近 10 日高点未能继续抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额放大不足; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 化学原料 18 家; factor: top3_precision_score=46.75; factor: active_cooling_score=90.00; factor: trend_hold_score=40.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=3.91; factor: invalid_distance_pct=3.44; factor: d1_low_ma10_pct=-1.09; factor: d1_close_ma10_pct=2.42; factor: d1_close_vwap_pct=0.07; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级
2026-06-25,000571,新大洲A,2026-06-23,2,2,D2_WATCH_OR_SMALL,True,small,61.25,61.25,90.0,84.0,70.0,89.0,60.0,75.0,45.0,4.8556,8.9552,7.4987,17.1124,4.6228,A,6.1,6.403960133512459,6.1,"{""d1_low"": 6.15, ""d1_open"": 6.15, ""d1_close"": 6.7, ""d1_vwap"": 6.348815450490565, ""prev_close"": 6.26, ""ma5"": 6.1, ""ma10"": 5.720999999999999, ""d1_intraday_vwap"": 6.403960133512459, ""d1_first_5m_low"": 6.15, ""low_absorb_min"": 6.1, ""low_absorb_max"": 6.403960133512459, ""invalid_price"": 6.1}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额温和放大; active_raw: D1 振幅明显放大; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 煤炭开采 2 家; factor: top3_precision_score=61.25; factor: active_cooling_score=70.00; factor: trend_hold_score=75.00; factor: entry_width_score=45.00; factor: low_absorb_width_pct=4.86; factor: invalid_distance_pct=8.96; factor: d1_low_ma10_pct=7.50; factor: d1_close_ma10_pct=17.11; factor: d1_close_vwap_pct=4.62; soft_filter: D1 收盘相对 VWAP 偏高，空间透支惩罚
2026-06-25,000612,焦作万方,2026-06-22,3,1,WATCH_ONLY,False,zero,42.5,42.5,70.0,42.0,65.0,15.0,70.0,40.0,65.0,3.0833,0.7895,-0.5277,0.2639,-0.4899,C,11.31,11.68,11.31,"{""d1_low"": 11.31, ""d1_open"": 11.68, ""d1_close"": 11.4, ""d1_vwap"": 11.382675522981234, ""prev_close"": 12.0, ""ma5"": 11.620000000000001, ""ma10"": 11.370000000000001, ""d1_intraday_vwap"": 11.456126626732338, ""d1_first_5m_low"": 11.5, ""low_absorb_min"": 11.31, ""low_absorb_max"": 11.68, ""invalid_price"": 11.31}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; active_raw: 分时围绕 VWAP 反复争夺; support: D1 跌破前低且未收回; support: D1 收盘站上日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 工业金属 11 家; factor: top3_precision_score=42.50; factor: active_cooling_score=65.00; factor: trend_hold_score=40.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.08; factor: invalid_distance_pct=0.79; factor: d1_low_ma10_pct=-0.53; factor: d1_close_ma10_pct=0.26; factor: d1_close_vwap_pct=-0.49; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤; hard_filter: 承接分严重不足
2026-06-25,000657,中钨高新,2026-06-22,3,1,D2_LOW_ABSORB,True,normal,78.75,78.75,90.0,54.0,90.0,91.0,70.0,65.0,65.0,2.9976,7.2672,4.1501,12.312,1.5573,A,98.0,101.0,98.0,"{""d1_low"": 98.0, ""d1_open"": 101.0, ""d1_close"": 105.68, ""d1_vwap"": 103.25324847891773, ""prev_close"": 100.08, ""ma5"": 103.01399999999998, ""ma10"": 94.095, ""d1_intraday_vwap"": 104.05948640692917, ""d1_first_5m_low"": 98.5, ""low_absorb_min"": 98.0, ""low_absorb_max"": 101.0, ""invalid_price"": 98.0}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额放大不足; active_raw: D1 振幅明显放大; active_raw: 尾盘站在日内 VWAP 上方; support: D1 未跌破前一日低点; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 小金属 13 家; factor: top3_precision_score=78.75; factor: active_cooling_score=90.00; factor: trend_hold_score=65.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.00; factor: invalid_distance_pct=7.27; factor: d1_low_ma10_pct=4.15; factor: d1_close_ma10_pct=12.31; factor: d1_close_vwap_pct=1.56
2026-06-25,000682,东方电子,2026-06-22,3,1,WATCH_ONLY,False,zero,47.8,47.8,58.0,32.0,65.0,0.0,70.0,55.0,60.0,4.2909,0.303,1.3087,1.6166,-1.1027,C,13.16,13.75,13.16,"{""d1_low"": 13.16, ""d1_open"": 13.68, ""d1_close"": 13.2, ""d1_vwap"": 13.240291581795379, ""prev_close"": 13.75, ""ma5"": 13.601999999999999, ""ma10"": 12.99, ""d1_intraday_vwap"": 13.347185950992268, ""d1_first_5m_low"": 13.51, ""low_absorb_min"": 13.16, ""low_absorb_max"": 13.75, ""invalid_price"": 13.16}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘接近低位; active_raw: D1 成交额放大不足; support: D1 跌破前低且未收回; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 电网设备 9 家; factor: top3_precision_score=47.80; factor: active_cooling_score=65.00; factor: trend_hold_score=55.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=4.29; factor: invalid_distance_pct=0.30; factor: d1_low_ma10_pct=1.31; factor: d1_close_ma10_pct=1.62; factor: d1_close_vwap_pct=-1.10; soft_filter: D1 低点趋势保持不足，限制 Top3 优先级; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤; hard_filter: 活跃资金分过低; hard_filter: 承接分严重不足
2026-06-25,000751,锌业股份,2026-06-22,3,1,D2_WATCH_OR_SMALL,True,small,70.05,70.05,70.0,70.0,85.0,21.0,70.0,75.0,60.0,4.2208,1.3378,8.3165,9.7852,-2.2486,C,5.9,6.16,5.9,"{""d1_low"": 5.9, ""d1_open"": 5.93, ""d1_close"": 5.98, ""d1_vwap"": 6.049122999599831, ""prev_close"": 6.16, ""ma5"": 5.798, ""ma10"": 5.447, ""d1_intraday_vwap"": 6.117560298015817, ""d1_first_5m_low"": 5.9, ""low_absorb_min"": 5.9, ""low_absorb_max"": 6.16, ""invalid_price"": 5.9}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active_raw: D1 成交额温和放大; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 工业金属 11 家; factor: top3_precision_score=70.05; factor: active_cooling_score=85.00; factor: trend_hold_score=75.00; factor: entry_width_score=60.00; factor: low_absorb_width_pct=4.22; factor: invalid_distance_pct=1.34; factor: d1_low_ma10_pct=8.32; factor: d1_close_ma10_pct=9.79; factor: d1_close_vwap_pct=-2.25; soft_filter: 承接类型 C，仅作辅助观察，不再硬过滤
2026-06-25,000776,广发证券,2026-06-22,3,1,D2_LOW_ABSORB,True,normal,75.05,75.05,82.0,78.0,85.0,77.0,70.0,65.0,65.0,3.4001,3.8462,3.277,7.4081,0.5193,A,22.25,23.020455667019995,22.25,"{""d1_low"": 22.25, ""d1_open"": 22.55, ""d1_close"": 23.14, ""d1_vwap"": 22.89886565160598, ""prev_close"": 22.66, ""ma5"": 22.492, ""ma10"": 21.544, ""d1_intraday_vwap"": 23.020455667019995, ""d1_first_5m_low"": 22.4, ""low_absorb_min"": 22.25, ""low_absorb_max"": 23.020455667019995, ""invalid_price"": 22.25}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; active_raw: D1 成交额温和放大; active_raw: D1 有一定振幅; active_raw: 分时围绕 VWAP 反复争夺; active_raw: 尾盘站在日内 VWAP 上方; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 证券Ⅱ 7 家; factor: top3_precision_score=75.05; factor: active_cooling_score=85.00; factor: trend_hold_score=65.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.40; factor: invalid_distance_pct=3.85; factor: d1_low_ma10_pct=3.28; factor: d1_close_ma10_pct=7.41; factor: d1_close_vwap_pct=0.52
2026-06-25,000783,长江证券,2026-06-25,0,3,WATCH_ONLY,False,zero,25.25,25.25,90.0,92.0,30.0,89.0,70.0,75.0,65.0,3.0119,10.8177,7.4988,20.4319,3.2716,A,9.052000000000001,9.33,9.052000000000001,"{""d1_low"": 9.06, ""d1_open"": 9.33, ""d1_close"": 10.15, ""d1_vwap"": 9.764856883295865, ""prev_close"": 9.23, ""ma5"": 9.052000000000001, ""ma10"": 8.428, ""d1_intraday_vwap"": 9.828451458539895, ""d1_first_5m_low"": 9.28, ""low_absorb_min"": 9.052000000000001, ""low_absorb_max"": 9.33, ""invalid_price"": 9.052000000000001}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘位置强; active_raw: D1 成交额显著放大; active_raw: D1 振幅明显放大; active_raw: 尾盘站在日内 VWAP 上方; active_raw: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 收盘位置较强; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材涨停家数较多: 证券Ⅱ 7 家; factor: top3_precision_score=25.25; factor: active_cooling_score=30.00; factor: trend_hold_score=75.00; factor: entry_width_score=65.00; factor: low_absorb_width_pct=3.01; factor: invalid_distance_pct=10.82; factor: d1_low_ma10_pct=7.50; factor: d1_close_ma10_pct=20.43; factor: d1_close_vwap_pct=3.27; soft_filter: 活跃资金过热，Top3 精度强惩罚; soft_filter: D1 收盘相对 VWAP 偏高，空间透支惩罚; hard_filter: 今日仍涨停，等待首次分歧日
