code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
000032,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000032 data quality check failed: minute trade days 35 < required 40,深桑达Ａ,2026-06-16,2026-06-16
000099,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000099 data quality check failed: minute trade days 35 < required 40,中信海直,2026-06-16,2026-06-12
000151,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000151 data quality check failed: minute trade days 35 < required 40,中成股份,2026-06-16,2026-06-12
000506,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000506 data quality check failed: minute trade days 35 < required 40,招金黄金,2026-06-16,2026-06-15
000510,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000510 data quality check failed: minute trade days 35 < required 40,新金路,2026-06-16,2026-06-15
000547,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000547 data quality check failed: minute trade days 35 < required 40,航天发展,2026-06-16,2026-06-12
000630,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000630 data quality check failed: minute trade days 35 < required 40,铜陵有色,2026-06-16,2026-06-12
000737,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000737 data quality check failed: minute trade days 35 < required 40,北方铜业,2026-06-16,2026-06-12
000751,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000751 data quality check failed: minute trade days 35 < required 40,锌业股份,2026-06-16,2026-06-12
000758,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000758 data quality check failed: minute trade days 35 < required 40,中色股份,2026-06-16,2026-06-12
000759,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000759 data quality check failed: minute trade days 35 < required 40,中百集团,2026-06-16,2026-06-12
000768,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000768 data quality check failed: minute trade days 35 < required 40,中航西飞,2026-06-16,2026-06-12
000969,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,000969 data quality check failed: minute trade days 35 < required 40,安泰科技,2026-06-16,2026-06-12
001206,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.03999999999999915,False,"minute trade days 35 < required 40; daily/minute close cross-check failed: matched=35, max_diff=0.03999999999999915","001206 data quality check failed: minute trade days 35 < required 40; daily/minute close cross-check failed: matched=35, max_diff=0.03999999999999915",依依股份,2026-06-16,2026-06-12
001233,failed,tencent_daily,sina_5m,False,40,134,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,daily history rows 134 < required 180; minute trade days 35 < required 40,001233 data quality check failed: daily history rows 134 < required 180; minute trade days 35 < required 40,海安集团,2026-06-16,2026-06-12
001257,failed,tencent_daily,sina_5m,False,40,52,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,daily history rows 52 < required 180; minute trade days 35 < required 40,001257 data quality check failed: daily history rows 52 < required 180; minute trade days 35 < required 40,盛龙股份,2026-06-16,2026-06-16
001299,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001299 data quality check failed: minute trade days 35 < required 40,美能能源,2026-06-16,2026-06-12
001330,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001330 data quality check failed: minute trade days 35 < required 40,博纳影业,2026-06-16,2026-06-12
001359,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001359 data quality check failed: minute trade days 35 < required 40,平安电工,2026-06-16,2026-06-15
001360,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001360 data quality check failed: minute trade days 35 < required 40,南矿集团,2026-06-16,2026-06-12
001378,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001378 data quality check failed: minute trade days 35 < required 40,德冠新材,2026-06-16,2026-06-12
001696,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,001696 data quality check failed: minute trade days 35 < required 40,宗申动力,2026-06-16,2026-06-12
002085,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002085 data quality check failed: minute trade days 35 < required 40,万丰奥威,2026-06-16,2026-06-12
002088,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002088 data quality check failed: minute trade days 35 < required 40,鲁阳节能,2026-06-16,2026-06-12
002190,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002190 data quality check failed: minute trade days 35 < required 40,成飞集成,2026-06-16,2026-06-12
002200,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-16 00:00:00,2026-06-16 00:00:00,2026-04-23 11:05:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002200 data quality check failed: minute trade days 35 < required 40,交投生态,2026-06-16,2026-06-12
002203,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002203 data quality check failed: minute trade days 35 < required 40,海亮股份,2026-06-16,2026-06-12
002215,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002215 data quality check failed: minute trade days 35 < required 40,诺 普 信,2026-06-16,2026-06-12
002270,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002270 data quality check failed: minute trade days 35 < required 40,华明装备,2026-06-16,2026-06-12
002345,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002345 data quality check failed: minute trade days 35 < required 40,潮宏基,2026-06-16,2026-06-12
002457,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002457 data quality check failed: minute trade days 35 < required 40,青龙管业,2026-06-16,2026-06-12
002597,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002597 data quality check failed: minute trade days 35 < required 40,金禾实业,2026-06-16,2026-06-12
002637,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002637 data quality check failed: minute trade days 35 < required 40,赞宇科技,2026-06-16,2026-06-12
002733,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002733 data quality check failed: minute trade days 35 < required 40,雄韬股份,2026-06-16,2026-06-12
002742,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-16 00:00:00,2026-06-16 00:00:00,2026-04-23 14:00:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002742 data quality check failed: minute trade days 35 < required 40,冀衡医药,2026-06-16,2026-06-12
002812,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002812 data quality check failed: minute trade days 35 < required 40,恩捷股份,2026-06-16,2026-06-12
002830,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:45:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002830 data quality check failed: minute trade days 35 < required 40,名雕股份,2026-06-16,2026-06-12
002882,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002882 data quality check failed: minute trade days 35 < required 40,金龙羽,2026-06-16,2026-06-12
002927,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002927 data quality check failed: minute trade days 35 < required 40,泰永长征,2026-06-16,2026-06-16
