comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,daily_rank,,missed_selected,success,15,11,18.866666666666667,38.72727272727273,-19.86060606060606,-1.110834898495719,,,,1.110834898495719,1,negative_group_higher,`daily_rank` is higher in the negative group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,executed,False,missed_selected,success,15,0,,,1.0,,1.0,0.0,,1.0,1,positive_group_overrepresented,`executed=False` is overrepresented in the positive group.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,executed,True,missed_selected,success,0,11,,,-1.0,,0.0,1.0,0.0,1.0,1,negative_group_overrepresented,`executed=True` is overrepresented in the negative group. lift=0.00.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,failure_reason,zone_too_low,missed_selected,success,15,0,,,1.0,,1.0,0.0,,1.0,1,positive_group_overrepresented,`failure_reason=zone_too_low` is overrepresented in the positive group.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,total_score,,missed_selected,success,15,11,83.63666666666667,78.73181818181818,4.904848484848486,0.9906285190767533,,,,0.9906285190767533,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,failure_reason,,missed_selected,success,0,9,,,-0.8181818181818182,,0.0,0.8181818181818182,0.0,0.8181818181818182,1,negative_group_overrepresented,`failure_reason=` is overrepresented in the negative group. lift=0.00.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,support_score,,missed_selected,success,15,11,88.86666666666666,83.72727272727273,5.139393939393926,0.7729240640502114,,,,0.7729240640502114,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,active_money_score,,missed_selected,success,15,11,83.73333333333333,75.27272727272727,8.460606060606068,0.6539949760214775,,,,0.6539949760214775,1,positive_group_higher,`active_money_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,graph_quality_score,,missed_selected,success,15,11,86.53333333333333,82.54545454545455,3.9878787878787847,0.5906075306004916,,,,0.5906075306004916,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,days_since_d0,,missed_selected,success,15,11,1.7333333333333334,1.4545454545454546,0.2787878787878788,0.4461134036705514,,,,0.4461134036705514,1,positive_group_higher,`days_since_d0` is higher in the positive group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,days_since_d0,,missed_unselected,ordinary,132,325,0.6893939393939394,1.3784615384615384,-0.689067599067599,-0.645181085633739,,,,0.645181085633739,1,negative_group_higher,`days_since_d0` is higher in the negative group; treat as a candidate hypothesis.
