factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
active_money_score,all_opportunity_d3_max,all_candidates,1,108,32.0,54.0,46.1852,5.1602,3.8736,1.282,8.0931,0.3426,0.1481,0.0093,0.3426,-1.1037,5.1602
active_money_score,all_opportunity_d3_max,all_candidates,2,107,54.0,64.0,59.0841,4.8166,3.4091,0.7533,7.2328,0.2804,0.1308,0.0,0.2804,-1.6787,4.8166
active_money_score,all_opportunity_d3_max,all_candidates,3,108,64.0,76.0,69.2407,4.3254,2.7232,1.1177,7.2092,0.2593,0.1204,0.0093,0.2593,-2.5551,4.3254
active_money_score,all_opportunity_d3_max,all_candidates,4,107,76.0,86.0,81.4393,4.4472,2.8372,0.6898,7.9299,0.2991,0.1308,0.0,0.2991,-1.7946,4.4472
active_money_score,all_opportunity_d3_max,all_candidates,5,108,86.0,100.0,93.3704,4.8004,4.1095,0.9458,7.462,0.287,0.1204,0.0093,0.287,-2.0585,4.8004
active_money_score,all_primary_d3_close,all_candidates,1,108,32.0,54.0,46.1852,-1.1037,-3.2893,-5.3795,3.6417,0.1574,0.0741,0.5093,0.3426,-1.1037,5.1602
active_money_score,all_primary_d3_close,all_candidates,2,107,54.0,64.0,59.0841,-1.6787,-3.014,-7.0343,2.3785,0.1215,0.0935,0.5047,0.2804,-1.6787,4.8166
active_money_score,all_primary_d3_close,all_candidates,3,108,64.0,76.0,69.2407,-2.5551,-3.8246,-7.338,1.4584,0.1019,0.0556,0.5463,0.2593,-2.5551,4.3254
active_money_score,all_primary_d3_close,all_candidates,4,107,76.0,86.0,81.4393,-1.7946,-3.0794,-6.3776,2.937,0.1028,0.0654,0.5047,0.2991,-1.7946,4.4472
active_money_score,all_primary_d3_close,all_candidates,5,108,86.0,100.0,93.3704,-2.0585,-3.1165,-7.2683,1.6733,0.0926,0.0556,0.5093,0.287,-2.0585,4.8004
active_money_score,executed_realized_d3,executed_only,1,14,58.0,64.0,59.1429,-2.3414,-2.0143,-6.8501,1.6529,0.1429,0.0,0.4286,0.1429,-3.3039,2.3922
active_money_score,executed_realized_d3,executed_only,2,13,64.0,74.0,70.0,-0.0391,1.9582,-5.1988,7.0,0.3077,0.0,0.3077,0.3077,-1.112,4.8386
active_money_score,executed_realized_d3,executed_only,3,13,76.0,80.0,78.1538,-0.7865,-2.4961,-4.195,1.0558,0.2308,0.0,0.3846,0.3077,-1.9275,3.9519
active_money_score,executed_realized_d3,executed_only,4,13,80.0,88.0,84.9231,-2.8451,-2.4041,-5.3042,0.2023,0.0,0.0,0.4615,0.0,-4.4085,1.4754
active_money_score,executed_realized_d3,executed_only,5,13,88.0,100.0,95.0769,-1.1114,-1.9323,-5.0973,2.167,0.1538,0.0,0.3846,0.0769,-4.1599,2.0646
consecutive_boards,all_opportunity_d3_max,all_candidates,1,108,1.0,1.0,1.0,5.8119,4.1274,1.6179,8.7217,0.3704,0.1852,0.0093,0.3704,-2.3742,5.8119
consecutive_boards,all_opportunity_d3_max,all_candidates,2,107,1.0,1.0,1.0,6.0346,4.878,1.6182,9.6076,0.3364,0.2336,0.0093,0.3364,-1.2193,6.0346
consecutive_boards,all_opportunity_d3_max,all_candidates,3,108,1.0,1.0,1.0,2.5012,1.9213,0.1774,3.8341,0.1296,0.037,0.0093,0.1296,-3.1997,2.5012
consecutive_boards,all_opportunity_d3_max,all_candidates,4,107,1.0,1.0,1.0,3.687,2.5482,0.4776,6.8053,0.2523,0.0748,0.0,0.2523,-1.581,3.687
consecutive_boards,all_opportunity_d3_max,all_candidates,5,108,1.0,4.0,1.9537,5.5192,5.8314,1.2089,8.1953,0.3796,0.1204,0.0,0.3796,-0.8103,5.5192
consecutive_boards,all_primary_d3_close,all_candidates,1,108,1.0,1.0,1.0,-2.3742,-3.9047,-8.2399,2.9784,0.1296,0.0741,0.5463,0.3704,-2.3742,5.8119
consecutive_boards,all_primary_d3_close,all_candidates,2,107,1.0,1.0,1.0,-1.2193,-3.0794,-7.9187,3.3216,0.1869,0.1308,0.514,0.3364,-1.2193,6.0346
consecutive_boards,all_primary_d3_close,all_candidates,3,108,1.0,1.0,1.0,-3.1997,-3.8743,-6.4035,-1.149,0.037,0.0278,0.6111,0.1296,-3.1997,2.5012
consecutive_boards,all_primary_d3_close,all_candidates,4,107,1.0,1.0,1.0,-1.581,-2.7778,-5.8176,2.5412,0.0935,0.0374,0.4579,0.2523,-1.581,3.687
consecutive_boards,all_primary_d3_close,all_candidates,5,108,1.0,4.0,1.9537,-0.8103,-1.5556,-6.3808,4.1339,0.1296,0.0741,0.4444,0.3796,-0.8103,5.5192
consecutive_boards,executed_realized_d3,executed_only,1,14,1.0,1.0,1.0,-0.8792,-1.6539,-4.6007,5.7396,0.2857,0.0,0.3571,0.2857,-2.6772,5.0131
consecutive_boards,executed_realized_d3,executed_only,2,13,1.0,1.0,1.0,-0.6355,-2.0276,-5.0619,2.8078,0.2308,0.0,0.3846,0.1538,-3.1545,2.9923
consecutive_boards,executed_realized_d3,executed_only,3,13,1.0,1.0,1.0,-4.1738,-4.5533,-5.8949,-2.3148,0.0,0.0,0.6154,0.0,-5.2322,0.2092
consecutive_boards,executed_realized_d3,executed_only,4,13,1.0,1.0,1.0,1.5686,1.4969,-1.3393,2.6061,0.2308,0.0,0.0769,0.1538,-0.2058,3.3642
consecutive_boards,executed_realized_d3,executed_only,5,13,2.0,3.0,2.0769,-3.116,-3.9813,-5.8915,-1.5604,0.0769,0.0,0.5385,0.2308,-3.6903,2.9423
daily_rank,all_opportunity_d3_max,all_candidates,1,24,1.0,12.0,6.5,4.532,3.4787,0.4093,7.1685,0.25,0.2083,0.0,0.25,-1.6365,4.532
daily_rank,all_opportunity_d3_max,all_candidates,2,24,13.0,24.0,18.5,4.0932,2.847,1.5879,6.32,0.2083,0.0417,0.0,0.2083,-2.7014,4.0932
daily_rank,all_opportunity_d3_max,all_candidates,3,23,25.0,36.0,30.2609,4.002,3.4102,1.2174,6.4306,0.2609,0.1304,0.0,0.2609,-2.5369,4.002
daily_rank,all_opportunity_d3_max,all_candidates,4,24,36.0,48.0,42.0,4.1581,3.1356,0.5368,6.3971,0.2083,0.0833,0.0,0.2083,-2.073,4.1581
daily_rank,all_opportunity_d3_max,all_candidates,5,24,48.0,68.0,57.0,2.4897,1.2157,-0.5895,5.7353,0.1667,0.0,0.0,0.1667,-3.1243,2.4897
daily_rank,all_primary_d3_close,all_candidates,1,24,1.0,12.0,6.5,-1.6365,-3.082,-6.4072,1.1388,0.125,0.0417,0.5,0.25,-1.6365,4.532
daily_rank,all_primary_d3_close,all_candidates,2,24,13.0,24.0,18.5,-2.7014,-2.3755,-6.9182,0.8862,0.0417,0.0417,0.4583,0.2083,-2.7014,4.0932
daily_rank,all_primary_d3_close,all_candidates,3,23,25.0,36.0,30.2609,-2.5369,-2.8146,-6.8868,1.3225,0.087,0.0435,0.4783,0.2609,-2.5369,4.002
daily_rank,all_primary_d3_close,all_candidates,4,24,36.0,48.0,42.0,-2.073,-3.2412,-5.4867,0.5661,0.0833,0.0417,0.5417,0.2083,-2.073,4.1581
daily_rank,all_primary_d3_close,all_candidates,5,24,48.0,68.0,57.0,-3.1243,-2.8903,-7.4743,0.9041,0.0,0.0,0.5,0.1667,-3.1243,2.4897
daily_rank,executed_realized_d3,executed_only,1,14,1.0,19.0,11.1429,-0.8781,-1.5273,-2.2862,1.1522,0.0714,0.0,0.2143,0.0,-4.4999,1.5854
daily_rank,executed_realized_d3,executed_only,2,13,19.0,33.0,26.0769,-1.9543,-4.5533,-5.8915,2.167,0.2308,0.0,0.6154,0.2308,-3.994,3.2474
daily_rank,executed_realized_d3,executed_only,3,13,34.0,43.0,38.6923,-1.6648,-2.6892,-5.3042,1.6706,0.1538,0.0,0.3846,0.1538,-3.3089,2.5823
daily_rank,executed_realized_d3,executed_only,4,13,43.0,51.0,47.0769,-0.685,-1.5604,-2.9124,2.8078,0.1538,0.0,0.2308,0.1538,-0.2836,4.3739
