count,avg_primary_d3_close_return,median_primary_d3_close_return,avg_opportunity_d3_max_return,median_opportunity_d3_max_return,avg_candidate_d3_drawdown,primary_target_rate,primary_loss_rate,opportunity_target_rate,opportunity_10_rate,executed_rate,avg_daily_rank,median_daily_rank,avg_days_since_d0,median_days_since_d0,avg_consecutive_boards,median_consecutive_boards,avg_total_score,median_total_score,avg_graph_quality_score,median_graph_quality_score,avg_support_score,median_support_score,avg_active_money_score,median_active_money_score,avg_theme_score,median_theme_score,avg_low_absorb_width_pct,median_low_absorb_width_pct,avg_invalid_distance_pct,median_invalid_distance_pct,top_signal_type,top_position_level,top_support_type,top_sample_group,bucket_type,bucket
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,74.22,71.3,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,candidate_d3_drawdown,data_issue
202,-2.3105,-3.2735,3.4926,2.7208,-4.8867,0.0198,0.5545,0.1584,0.0347,0.1634,30.0444,29.0,1.4901,2.0,1.1832,1.0,66.0752,69.75,64.1188,70.0,66.0545,79.0,69.4653,70.0,65.0248,70.0,3.8161,4.0351,3.8161,4.0351,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-3_to_-7
112,-7.2663,-7.5218,1.6742,1.2157,-8.5055,0.0,0.9554,0.0446,0.0,0.1161,31.4643,30.5,1.4196,1.0,1.1518,1.0,66.0415,71.25,65.5714,71.0,63.3929,73.0,70.4286,68.0,64.2411,70.0,3.7799,4.0551,3.7799,4.0551,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_-7_to_-10
107,3.5278,2.9497,7.5584,7.4807,-1.7388,0.2056,0.0,0.5981,0.215,0.1028,31.8077,31.0,1.2897,1.0,1.1495,1.0,70.4019,74.25,73.3645,82.0,69.4953,89.0,69.2523,70.0,66.9159,70.0,3.6267,3.8877,3.6267,3.8877,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_0_to_-3
59,-10.8601,-10.8193,0.9309,0.6089,-12.077,0.0,0.9831,0.0339,0.0,0.1186,31.7857,29.5,1.0339,1.0,1.2034,1.0,68.5212,71.25,65.5932,70.0,70.339,79.0,73.2203,74.0,64.4915,70.0,3.3914,3.5242,3.3914,3.5242,WATCH_ONLY,zero,A,ordinary,candidate_d3_drawdown,drawdown_<-10
58,9.5636,8.8807,13.404,11.5266,3.0923,0.6207,0.0,0.9483,0.6897,0.0345,27.8333,24.0,0.431,0.0,1.3621,1.0,72.4198,76.75,75.9655,80.0,76.9828,90.0,67.8621,63.0,64.1379,70.0,2.967,3.2567,2.967,3.2567,WATCH_ONLY,zero,A,missed_unselected,candidate_d3_drawdown,drawdown_none_or_positive
482,-1.6779,-3.1421,4.9583,3.8161,-4.8397,0.1266,0.5,0.305,0.1411,0.0,24.2642,23.0,1.1722,1.0,1.1846,1.0,66.4662,69.85,65.5851,70.0,66.2282,89.0,69.029,68.0,64.6473,70.0,3.5556,3.8425,3.5556,3.8425,WATCH_ONLY,zero,A,ordinary,executed_realized_d3_return,not_executed
15,-3.7481,-3.4029,1.8945,1.6422,-5.2188,0.0,0.5333,0.0667,0.0,1.0,32.8667,40.0,2.0667,2.0,1.2667,1.0,80.24,78.55,83.0667,82.0,85.0,89.0,80.6667,80.0,65.0,70.0,4.0148,4.1978,4.0148,4.1978,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-3_to_0
20,-6.2984,-6.3517,0.7085,0.0,-7.2958,0.0,1.0,0.0,0.0,1.0,35.5,33.5,1.8,2.0,1.3,1.0,79.4325,79.25,82.2,82.0,81.9,80.0,80.1,83.0,67.75,70.0,4.0881,4.3318,4.0881,4.3318,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_-7_to_-3
13,0.4787,0.3606,3.6725,2.9346,-3.7663,0.0,0.0769,0.0769,0.0,1.0,30.6154,35.0,1.8462,2.0,1.1538,1.0,80.2154,79.25,86.0,90.0,84.6923,91.0,75.3846,78.0,67.3077,70.0,4.1035,4.1535,4.1035,4.1535,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_0_to_3
1,2.0915,2.0915,2.2222,2.2222,-2.3529,0.0,0.0,0.0,0.0,1.0,46.0,46.0,3.0,3.0,1.0,1.0,77.55,77.55,78.0,78.0,89.0,89.0,70.0,70.0,70.0,70.0,2.8689,2.8689,2.8689,2.8689,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_3_to_7
11,3.3392,3.2613,8.9501,8.4386,-3.101,0.0909,0.0909,0.8182,0.1818,1.0,38.7273,41.0,1.4545,1.0,1.0909,1.0,78.7318,77.95,82.5455,82.0,83.7273,89.0,75.2727,72.0,67.2727,70.0,3.6997,3.7778,3.6997,3.7778,D2_LOW_ABSORB,normal,A,success,executed_realized_d3_return,realized_7_to_10
6,-10.0021,-9.9406,0.4644,0.5615,-10.8308,0.0,1.0,0.0,0.0,1.0,52.1667,55.0,1.5,1.0,1.1667,1.0,74.4667,72.85,81.3333,82.0,75.6667,74.0,67.3333,65.0,68.3333,70.0,3.8527,4.2943,3.8527,4.2943,D2_LOW_ABSORB,normal,A,failed,executed_realized_d3_return,realized_<-7
10,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,74.22,71.3,67.2,58.0,90.6,91.0,78.0,74.0,57.0,60.0,2.1354,1.1224,2.1354,1.1224,WATCH_ONLY,zero,A,data_issue,opportunity_d3_max_return,data_issue
189,-5.7834,-5.6769,1.3842,1.3176,-6.9476,0.0,0.7831,0.0,0.0,0.1534,29.175,26.0,1.545,2.0,1.1164,1.0,62.9228,64.45,59.2275,70.0,60.6243,69.0,68.8783,68.0,65.4497,70.0,3.7818,4.0516,3.7818,4.0516,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_0_to_3
41,7.2552,8.5663,10.9537,10.1096,-0.0779,0.6341,0.0,1.0,1.0,0.0244,17.0,12.0,1.122,1.0,1.1951,1.0,70.0049,76.55,74.9268,82.0,66.6585,89.0,69.0244,72.0,65.7317,70.0,3.3865,4.0113,3.3865,4.0113,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_10_to_15
124,-2.1601,-1.5722,4.9203,4.9032,-4.7561,0.0,0.4194,0.0,0.0,0.0968,30.5667,31.5,1.2016,1.0,1.1774,1.0,70.1948,74.5,70.0323,70.0,73.2581,89.0,70.6935,70.0,64.6371,70.0,3.6973,3.8278,3.6973,3.8278,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_3_to_7
88,2.3801,3.3261,8.5425,8.4595,-2.4086,0.125,0.1364,1.0,0.0,0.1023,35.8667,34.0,0.7955,0.5,1.3523,1.0,72.1455,75.7,76.0,82.0,73.625,89.0,68.7045,69.0,66.4205,70.0,3.427,3.7228,3.427,3.7228,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_7_to_10
67,-8.1857,-8.2215,-1.1259,-0.9704,-9.2653,0.0,0.9701,0.0,0.0,0.209,35.9565,39.0,1.6418,2.0,1.1791,1.0,68.4701,71.95,68.5075,70.0,67.0597,77.0,72.9851,74.0,63.209,70.0,3.7114,3.9286,3.7114,3.9286,WATCH_ONLY,zero,A,ordinary,opportunity_d3_max_return,opportunity_<0
29,14.2529,14.3474,18.5165,18.2576,2.7519,0.8621,0.0,1.0,1.0,0.0345,26.0,26.5,0.5862,0.0,1.2759,1.0,72.9966,77.45,75.6552,82.0,77.4828,89.0,70.2069,64.0,63.9655,70.0,3.1768,3.7778,3.1768,3.7778,WATCH_ONLY,zero,A,missed_unselected,opportunity_d3_max_return,opportunity_>=15
