factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
active_money_score,50-60,8,0,0,1,7,0,0.0,0.0,0.125,,,3.741305726060394,,
active_money_score,60-70,10,0,1,5,4,0,0.0,0.1,0.5,-8.728522336769773,-8.728522336769773,7.880590962587272,3.0240549828178587,-8.728522336769773
active_money_score,70-80,7,1,0,2,4,0,0.14285714285714285,0.0,0.2857142857142857,7.0,7.0,5.782023444979414,11.710770933661774,4.187813112483441
active_money_score,<=50,11,0,0,4,7,0,0.0,0.0,0.36363636363636365,,,5.667905911787407,,
active_money_score,>80,12,0,1,6,5,0,0.0,0.08333333333333333,0.5,-6.150278449420233,-6.150278449420233,7.162075294081099,5.281840606316113,-6.150278449420233
allowed_bool,False,25,0,0,10,15,0,0.0,0.0,0.4,,,5.871642495222404,,
allowed_bool,True,23,1,2,8,12,0,0.043478260869565216,0.08695652173913043,0.34782608695652173,-2.626266928730002,-6.150278449420233,6.55266633596897,6.672222174265248,-3.5636625579021888
candidate_d3_close_return_pct,0-3,7,1,0,2,4,0,0.14285714285714285,0.0,0.2857142857142857,7.0,7.0,5.953329402622678,11.710770933661774,4.187813112483441
candidate_d3_close_return_pct,3-7,4,0,0,3,1,0,0.0,0.0,0.75,,,8.551467110085058,,
candidate_d3_close_return_pct,7-10,4,0,0,4,0,0,0.0,0.0,1.0,,,13.810013383028142,,
candidate_d3_close_return_pct,<=0,29,0,2,5,22,0,0.0,0.06896551724137931,0.1724137931034483,-7.439400393095003,-7.439400393095003,3.0998417818736006,4.152947794566986,-7.439400393095003
candidate_d3_close_return_pct,>10,4,0,0,4,0,0,0.0,0.0,1.0,,,19.121937160675113,,
candidate_d3_max_return_pct,0-3,14,0,2,0,12,0,0.0,0.14285714285714285,0.0,-7.439400393095003,-7.439400393095003,1.8645399790145156,4.152947794566986,-7.439400393095003
candidate_d3_max_return_pct,3-7,11,0,0,0,11,0,0.0,0.0,0.0,,,4.447404849738759,,
candidate_d3_max_return_pct,7-10,9,1,0,8,0,0,0.1111111111111111,0.0,0.8888888888888888,7.0,7.0,8.254343426257154,11.710770933661774,4.187813112483441
candidate_d3_max_return_pct,<=0,4,0,0,0,4,0,0.0,0.0,0.0,,,-1.0498032399979622,,
candidate_d3_max_return_pct,>10,10,0,0,10,0,0,0.0,0.0,1.0,,,15.238749717819434,,
consecutive_boards,<=50,48,1,2,18,27,0,0.020833333333333332,0.041666666666666664,0.375,-2.626266928730002,-6.150278449420233,6.197966418913467,6.672222174265248,-3.5636625579021888
daily_rank,,31,0,0,12,19,0,0.0,0.0,0.3870967741935484,,,5.929802059435969,,
daily_rank,1,1,0,0,1,0,0,0.0,0.0,1.0,,,13.37435897435899,,
daily_rank,2,1,0,0,0,1,0,0.0,0.0,0.0,,,2.922077922077926,,
daily_rank,3,1,0,1,0,0,0,0.0,1.0,0.0,-6.150278449420233,-6.150278449420233,2.9462738301559988,5.281840606316113,-6.150278449420233
daily_rank,>3,14,1,1,5,7,0,0.07142857142857142,0.07142857142857142,0.35714285714285715,-0.8642611683848864,-0.8642611683848864,6.745415252767033,7.367412958239816,-2.270354612143166
days_since_d0,0,7,0,0,5,2,0,0.0,0.0,0.7142857142857143,,,10.438319514612369,,
days_since_d0,1,6,0,0,4,2,0,0.0,0.0,0.6666666666666666,,,7.545866587108267,,
days_since_d0,2,35,1,2,9,23,0,0.02857142857142857,0.05714285714285714,0.2571428571428571,-2.626266928730002,-6.150278449420233,5.118827199511721,6.672222174265248,-3.5636625579021888
eligible_for_trade,False,31,0,0,12,19,0,0.0,0.0,0.3870967741935484,,,5.929802059435969,,
eligible_for_trade,True,17,1,2,6,8,0,0.058823529411764705,0.11764705882352941,0.35294117647058826,-2.626266928730002,-6.150278449420233,6.686972015607728,6.672222174265248,-3.5636625579021888
executed,False,45,0,0,18,27,0,0.0,0.0,0.4,,,6.317094147941113,,
executed,True,3,1,2,0,0,0,0.3333333333333333,0.6666666666666666,0.0,-2.626266928730002,-6.150278449420233,4.411050483498806,6.672222174265248,-3.5636625579021888
failure_reason,,39,1,0,15,23,0,0.02564102564102564,0.0,0.38461538461538464,7.0,7.0,6.187908504336722,11.710770933661774,4.187813112483441
failure_reason,not_triggered,4,0,0,0,4,0,0.0,0.0,0.0,,,3.5488581262936023,,
failure_reason,stop_hit,2,0,2,0,0,0,0.0,1.0,0.0,-7.439400393095003,-7.439400393095003,1.7582761301065175,4.152947794566986,-7.439400393095003
