trade_date,code,name,d0_date,days_since_d0,consecutive_boards,signal_type,allowed,position_level,total_score,graph_quality_score,active_money_score,support_score,theme_score,support_type,low_absorb_min,low_absorb_max,invalid_price,key_zones_json,reasons
2026-06-23,002910,庄园牧场,2026-06-22,1,1,WATCH_ONLY,False,zero,59.5,70.0,84.0,29.0,45.0,C,12.0,12.44,12.0,"{""d1_low"": 12.0, ""d1_open"": 12.7, ""d1_close"": 12.05, ""d1_vwap"": 12.735210565368199, ""prev_close"": 12.82, ""ma5"": 11.778, ""ma10"": 10.835, ""d1_intraday_vwap"": 12.739388442378889, ""d1_first_5m_low"": 12.44, ""low_absorb_min"": 12.0, ""low_absorb_max"": 12.44, ""invalid_price"": 12.0}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; active: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; theme: 涨停池中同题材联动偏弱; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,002963,豪尔赛,2026-06-22,1,1,WATCH_ONLY,False,zero,54.95,52.0,84.0,21.0,70.0,C,21.05,21.89,21.05,"{""d1_low"": 21.05, ""d1_open"": 23.21, ""d1_close"": 21.5, ""d1_vwap"": 22.68067371652402, ""prev_close"": 21.44, ""ma5"": 19.8, ""ma10"": 19.19, ""d1_intraday_vwap"": 22.688246788945428, ""d1_first_5m_low"": 21.89, ""low_absorb_min"": 21.05, ""low_absorb_max"": 21.89, ""invalid_price"": 21.05}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; graph: D1 有高位巨量失败风险; active: D1 成交额显著放大; active: D1 振幅明显放大; active: 分时有急拉急杀波动; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 装修装饰 5 家; hard_filter: 图形趋势分不足; hard_filter: 承接分过低; hard_filter: 无效承接; hard_filter: 高位巨量失败风险
2026-06-23,002975,博杰股份,2026-06-22,1,1,D2_LOW_ABSORB,True,normal,70.75,70.0,72.0,77.0,60.0,A,137.19,143.68572246725577,137.19,"{""d1_low"": 137.19, ""d1_open"": 149.96, ""d1_close"": 144.6, ""d1_vwap"": 143.61086940964256, ""prev_close"": 150.48, ""ma5"": 142.264, ""ma10"": 133.642, ""d1_intraday_vwap"": 143.68572246725577, ""d1_first_5m_low"": 142.24, ""low_absorb_min"": 137.19, ""low_absorb_max"": 143.68572246725577, ""invalid_price"": 137.19}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; active: D1 成交额放大不足; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; active: 尾盘站在日内 VWAP 上方; active: 分时有急拉急杀波动; support: D1 跌破前低后收回; support: D1 收盘站上日 VWAP; support: D1 分时主动修复到 VWAP 上方; theme: 所属行业/题材有联动: 自动化设 3 家
2026-06-23,003031,中瓷电子,2026-06-22,1,1,WATCH_ONLY,False,zero,52.2,52.0,94.0,0.0,70.0,C,185.8,194.3980564118045,185.8,"{""d1_low"": 185.8, ""d1_open"": 204.0, ""d1_close"": 187.44, ""d1_vwap"": 194.2484122434269, ""prev_close"": 193.92, ""ma5"": 175.784, ""ma10"": 160.21499999999997, ""d1_intraday_vwap"": 194.3980564118045, ""d1_first_5m_low"": 200.0, ""low_absorb_min"": 185.8, ""low_absorb_max"": 194.3980564118045, ""invalid_price"": 185.8}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; graph: D1 有高位巨量失败风险; active: D1 成交额显著放大; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; active: 分时有急拉急杀波动; support: D1 跌破前低且未收回; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 通信设备 7 家; hard_filter: 图形趋势分不足; hard_filter: 承接分过低; hard_filter: 无效承接; hard_filter: 高位巨量失败风险
2026-06-23,600058,五矿发展,2026-06-22,1,1,WATCH_ONLY,False,zero,54.0,70.0,70.0,21.0,45.0,C,10.85,11.31,10.85,"{""d1_low"": 10.85, ""d1_open"": 11.14, ""d1_close"": 10.86, ""d1_vwap"": 11.133695589976416, ""prev_close"": 11.31, ""ma5"": 10.669999999999998, ""ma10"": 10.409, ""d1_intraday_vwap"": 11.133691870488528, ""d1_first_5m_low"": 11.01, ""low_absorb_min"": 10.85, ""low_absorb_max"": 11.31, ""invalid_price"": 10.85}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 有一定振幅; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 涨停池中同题材联动偏弱; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600078,澄星股份,2026-06-22,1,1,WATCH_ONLY,False,zero,51.75,70.0,46.0,21.0,70.0,C,13.74,14.41,13.74,"{""d1_low"": 13.74, ""d1_open"": 14.79, ""d1_close"": 13.81, ""d1_vwap"": 14.274494756054178, ""prev_close"": 14.61, ""ma5"": 13.791999999999998, ""ma10"": 13.275, ""d1_intraday_vwap"": 14.274494756054178, ""d1_first_5m_low"": 14.41, ""low_absorb_min"": 13.74, ""low_absorb_max"": 14.41, ""invalid_price"": 13.74}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额放大不足; active: D1 振幅明显放大; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 农化制品 8 家; hard_filter: 活跃资金分不足; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600096,云天化,2026-06-22,1,1,WATCH_ONLY,False,zero,53.55,58.0,70.0,21.0,70.0,C,31.81,32.97,31.81,"{""d1_low"": 31.81, ""d1_open"": 32.97, ""d1_close"": 32.06, ""d1_vwap"": 32.758638971142446, ""prev_close"": 32.53, ""ma5"": 31.002, ""ma10"": 30.328999999999997, ""d1_intraday_vwap"": 32.75865407527543, ""d1_first_5m_low"": 32.96, ""low_absorb_min"": 31.81, ""low_absorb_max"": 32.97, ""invalid_price"": 31.81}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 有一定振幅; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 农化制品 8 家; hard_filter: 图形趋势分不足; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600141,XD兴发集,2026-06-22,1,1,WATCH_ONLY,False,zero,56.75,70.0,66.0,21.0,70.0,C,39.06,39.318,39.06,"{""d1_low"": 39.06, ""d1_open"": 44.99, ""d1_close"": 39.24, ""d1_vwap"": 41.06341198921271, ""prev_close"": 41.97, ""ma5"": 39.318, ""ma10"": 35.912, ""d1_intraday_vwap"": 41.06342445575936, ""d1_first_5m_low"": 41.6, ""low_absorb_min"": 39.06, ""low_absorb_max"": 39.318, ""invalid_price"": 39.06}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额温和放大; active: D1 振幅明显放大; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 农化制品 8 家; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600160,巨化股份,2026-06-22,1,1,WATCH_ONLY,False,zero,54.25,70.0,56.0,21.0,70.0,C,46.2,48.25154649215511,46.2,"{""d1_low"": 46.2, ""d1_open"": 50.01, ""d1_close"": 46.85, ""d1_vwap"": 48.25153508201495, ""prev_close"": 48.53, ""ma5"": 46.78, ""ma10"": 44.199, ""d1_intraday_vwap"": 48.25154649215511, ""d1_first_5m_low"": 47.89, ""low_absorb_min"": 46.2, ""low_absorb_max"": 48.25154649215511, ""invalid_price"": 46.2}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额放大不足; active: D1 振幅明显放大; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材涨停家数较多: 化学制品 10 家; hard_filter: 承接分过低; hard_filter: 无效承接
2026-06-23,600162,香江控股,2026-06-22,1,1,WATCH_ONLY,False,zero,51.25,70.0,50.0,21.0,60.0,C,3.87,3.988052438630186,3.87,"{""d1_low"": 3.87, ""d1_open"": 3.92, ""d1_close"": 3.88, ""d1_vwap"": 3.988052438630186, ""prev_close"": 3.94, ""ma5"": 3.628, ""ma10"": 3.535, ""d1_intraday_vwap"": 3.9880523531458136, ""d1_first_5m_low"": 3.9, ""low_absorb_min"": 3.87, ""low_absorb_max"": 3.988052438630186, ""invalid_price"": 3.87}",graph: 近 10 日高点保持抬高; graph: 近 10 日低点没有明显下移; graph: 均线多头排列; graph: D1 收盘接近低位; active: D1 成交额放大不足; active: D1 有一定振幅; active: 分时围绕 VWAP 反复争夺; support: D1 未跌破前一日低点; support: D1 收盘低于日 VWAP; support: D1 收盘接近全天低位; support: D1 多数时间压在 VWAP 下方; theme: 所属行业/题材有联动: 房地产开 4 家; hard_filter: 活跃资金分不足; hard_filter: 承接分过低; hard_filter: 无效承接
