factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
active_money_score,50-60,28,6,3,0.5,1,0.3333333333333333,7.409038621699578,7.409038621699578,6.8404918901868355,1.3617000007193125,6.8404918901868355,1.3617000007193125,-2.1870471514011043
active_money_score,60-70,50,8,4,0.5,1,0.25,7.534946593205441,7.534946593205441,5.226752114013475,-2.322297965237932,5.226752114013475,-2.322297965237932,-7.9986823313746624
active_money_score,70-80,37,11,7,0.6363636363636364,3,0.42857142857142855,3.9837848249108436,3.9837848249108436,7.373033286081108,-0.8688599837778744,7.373033286081108,-0.8688599837778744,-4.1218959402990825
active_money_score,<=50,34,0,0,,0,,5.48550925583872,5.48550925583872,,,,,
active_money_score,>80,95,26,8,0.3076923076923077,1,0.125,6.424112506515364,6.424112506515364,4.245415214644771,-4.684951784997455,4.245415214644771,-4.684951784997455,-6.092220863980156
daily_rank,,193,0,0,,0,,6.386397461851227,6.386397461851227,,,,,
daily_rank,1,1,1,0,0.0,0,,13.37435897435899,13.37435897435899,,,,,
daily_rank,2,1,1,1,1.0,1,1.0,4.878048780487787,4.878048780487787,7.496509027776521,-1.0746411937073264,7.496509027776521,-1.0746411937073264,-3.574560008306771
daily_rank,3,1,1,0,0.0,0,,2.922077922077926,2.922077922077926,,,,,
daily_rank,>3,48,48,21,0.4375,5,0.23809523809523808,5.771913942286807,5.771913942286807,5.690787134217326,-2.2710040395957725,5.690787134217326,-2.2710040395957725,-5.360588060253811
days_since_d0,0,87,0,0,,0,,8.717977815237752,8.717977815237752,,,,,
days_since_d0,1,72,14,9,0.6428571428571429,1,0.1111111111111111,3.8604047740804766,3.8604047740804766,3.8166431552419806,-5.552004638690246,3.8166431552419806,-5.552004638690246,-6.571459243235891
days_since_d0,2,85,37,13,0.35135135135135137,5,0.38461538461538464,5.843758020445715,5.843758020445715,7.12717311147404,0.09248582484566548,7.12717311147404,0.09248582484566548,-4.384905852654906
graph_quality_score,50-60,26,0,0,,0,,8.112320255928362,8.112320255928362,,,,,
graph_quality_score,60-70,30,6,4,0.6666666666666666,0,0.0,4.911655368438656,4.911655368438656,2.538796651437572,-5.266863222698717,2.538796651437572,-5.266863222698717,-7.542383546329885
graph_quality_score,70-80,19,2,0,0.0,0,,7.276815422212956,7.276815422212956,,,,,
graph_quality_score,<=50,59,0,0,,0,,3.498140938099906,3.498140938099906,,,,,
graph_quality_score,>80,110,43,18,0.4186046511627907,6,0.3333333333333333,7.536650197292559,7.536650197292559,6.4915473466994476,-1.5387929519124264,6.4915473466994476,-1.5387929519124264,-4.776520838239847
invalid_distance_pct,1-2,19,3,0,0.0,0,,6.449454903058412,6.449454903058412,,,,,
invalid_distance_pct,2-3,49,9,3,0.3333333333333333,1,0.3333333333333333,6.976752173759537,6.976752173759537,4.783104948460134,-3.043830181993124,4.783104948460134,-3.043830181993124,-5.829049469741562
invalid_distance_pct,3-5,142,35,18,0.5142857142857142,5,0.2777777777777778,6.161179848854014,6.161179848854014,6.116439865319456,-2.1007265169161022,6.116439865319456,-2.1007265169161022,-5.107089686292226
invalid_distance_pct,<=1,15,2,1,0.5,0,0.0,7.033755854502823,7.033755854502823,2.55780642520973,-1.8211581747493377,2.55780642520973,-1.8211581747493377,-6.732146511152037
invalid_distance_pct,>5,19,2,0,0.0,0,,4.560739337341582,4.560739337341582,,,,,
