factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
active_money_score,50-60,28,1,2,10,15,0,0.03571428571428571,0.07142857142857142,0.35714285714285715,1.993788520774644,1.6706071432756486,7.409038621699578,6.8404918901868355,1.3617000007193125
active_money_score,60-70,50,1,3,20,26,0,0.02,0.06,0.4,-3.6558097425398604,-3.3851488968444254,7.534946593205441,5.226752114013475,-2.3222979652379325
active_money_score,70-80,37,3,4,7,22,1,0.08108108108108109,0.10810810810810811,0.1891891891891892,0.5396650166166709,-2.49609984399376,3.9837848249108436,7.373033286081108,-0.8688599837778744
active_money_score,<=50,34,0,0,12,22,0,0.0,0.0,0.35294117647058826,,,5.48550925583872,,
active_money_score,>80,95,1,7,38,49,0,0.010526315789473684,0.07368421052631578,0.4,-3.6756216357840388,-4.965480373679715,6.424112506515364,4.245415214644771,-4.6849517849974545
allowed_bool,False,177,0,0,72,104,1,0.0,0.0,0.4067796610169492,,,6.3963387236414455,,
allowed_bool,True,67,6,16,15,30,0,0.08955223880597014,0.23880597014925373,0.22388059701492538,-1.5576905171723234,-2.5926707124727386,5.950135107779588,5.77286540210638,-2.216623910237207
candidate_d3_close_return_pct,,1,0,0,0,0,1,0.0,0.0,0.0,,,,,
candidate_d3_close_return_pct,0-3,25,3,1,9,12,0,0.12,0.04,0.36,5.667651785818912,7.0,6.853252742290638,9.241156872937767,3.2027330351284578
candidate_d3_close_return_pct,3-7,29,1,1,23,4,0,0.034482758620689655,0.034482758620689655,0.7931034482758621,4.479112271540461,4.479112271540461,9.617172739414725,6.231108414677754,3.5309794914574644
candidate_d3_close_return_pct,7-10,14,0,0,14,0,0,0.0,0.0,1.0,,,12.027787977516327,,
candidate_d3_close_return_pct,<=0,150,1,14,17,118,0,0.006666666666666667,0.09333333333333334,0.11333333333333333,-4.859868204276512,-5.061913185467414,3.003335320815448,4.001153867706519,-5.398177617190333
candidate_d3_close_return_pct,>10,25,1,0,24,0,0,0.04,0.0,0.96,7.0,7.0,18.211840390971517,17.558886509635975,12.334047109207711
candidate_d3_max_return_pct,,1,0,0,0,0,1,0.0,0.0,0.0,,,,,
candidate_d3_max_return_pct,0-3,67,0,8,0,59,0,0.0,0.11940298507462686,0.0,-7.0909751399092205,-6.351893615852289,1.6510954106051794,2.9000685471826313,-7.0909751399092205
candidate_d3_max_return_pct,3-7,63,1,6,0,56,0,0.015873015873015872,0.09523809523809523,0.0,-1.1748760342534652,-2.689241580951718,4.787288638112687,5.0469605159979904,-2.328396204783083
candidate_d3_max_return_pct,7-10,41,3,1,37,0,0,0.07317073170731707,0.024390243902439025,0.9024390243902439,4.62597503900156,7.0,8.36797404547782,8.917469379458991,2.5111534374136237
candidate_d3_max_return_pct,<=0,20,0,1,0,19,0,0.0,0.05,0.0,-1.8211581747493375,-1.8211581747493375,-1.2325918199970498,2.55780642520973,-1.8211581747493375
candidate_d3_max_return_pct,>10,52,2,0,50,0,0,0.038461538461538464,0.0,0.9615384615384616,7.0,7.0,15.264557527035207,15.123041456923826,8.018696476315823
consecutive_boards,<=50,244,6,16,87,134,1,0.02459016393442623,0.06557377049180328,0.35655737704918034,-1.5576905171723234,-2.5926707124727386,6.273311389226859,5.77286540210638,-2.216623910237207
daily_rank,,193,0,0,77,115,1,0.0,0.0,0.39896373056994816,,,6.386397461851227,,
daily_rank,1,1,0,0,1,0,0,0.0,0.0,1.0,,,13.37435897435899,,
daily_rank,2,1,1,0,0,0,0,1.0,0.0,0.0,7.0,7.0,4.878048780487787,7.496509027776521,-1.0746411937073264
daily_rank,3,1,0,0,0,1,0,0.0,0.0,0.0,,,2.922077922077926,,
daily_rank,>3,48,5,16,9,18,0,0.10416666666666667,0.3333333333333333,0.1875,-1.9651995894186247,-2.689241580951718,5.771913942286807,5.690787134217325,-2.2710040395957725
days_since_d0,0,87,0,0,50,36,1,0.0,0.0,0.5747126436781609,,,8.717977815237752,,
days_since_d0,1,72,1,8,14,49,0,0.013888888888888888,0.1111111111111111,0.19444444444444445,-4.654822283833876,-4.8336780118475975,3.8604047740804766,3.8166431552419806,-5.552004638690246
days_since_d0,2,85,5,8,23,49,0,0.058823529411764705,0.09411764705882353,0.27058823529411763,0.5864776289779807,1.6706071432756486,5.843758020445715,7.12717311147404,0.09248582484566548
eligible_for_trade,False,193,0,0,77,115,1,0.0,0.0,0.39896373056994816,,,6.386397461851227,,
eligible_for_trade,True,51,6,16,10,19,0,0.11764705882352941,0.3137254901960784,0.19607843137254902,-1.5576905171723234,-2.5926707124727386,5.847575586405714,5.77286540210638,-2.216623910237207
executed,False,222,0,0,87,134,1,0.0,0.0,0.3918918918918919,,,6.42790649865485,,
executed,True,22,6,16,0,0,0,0.2727272727272727,0.7272727272727273,0.0,-1.5576905171723234,-2.5926707124727386,4.720333244518409,5.77286540210638,-2.216623910237207
failure_reason,,196,4,0,77,115,0,0.02040816326530612,0.0,0.39285714285714285,7.0,7.0,6.473609895990119,11.903134844621498,6.218690175713991
failure_reason,break_invalid,1,0,0,0,1,0,0.0,0.0,0.0,,,4.046858359957395,,
failure_reason,data_issue,1,0,0,0,0,1,0.0,0.0,0.0,,,,,
failure_reason,not_triggered,18,0,0,0,18,0,0.0,0.0,0.0,,,3.5808595578676017,,
failure_reason,stop_hit,16,2,14,0,0,0,0.125,0.875,0.0,-3.903318599276007,-4.947795598657506,3.3718330480014136,4.3492450967317815,-4.614024558668719
failure_reason,unknown,1,0,1,0,0,0,0.0,1.0,0.0,1.6706071432756486,1.6706071432756486,2.937788018433185,4.597222202091866,1.6706071432756486
failure_reason,weak_repair,1,0,1,0,0,0,0.0,1.0,0.0,-1.4867009326506642,-1.4867009326506642,4.320987654320985,5.205355718053961,-1.4867009326506642
failure_reason,zone_too_low,10,0,0,10,0,0,0.0,0.0,1.0,,,12.587669312571217,,
graph_quality_score,50-60,26,0,0,12,14,0,0.0,0.0,0.46153846153846156,,,8.112320255928362,,
graph_quality_score,60-70,30,0,4,7,19,0,0.0,0.13333333333333333,0.23333333333333334,-5.266863222698717,-4.0863681287026,4.911655368438656,2.538796651437572,-5.266863222698717
graph_quality_score,70-80,19,0,0,9,10,0,0.0,0.0,0.47368421052631576,,,7.276815422212956,,
graph_quality_score,<=50,59,0,0,11,48,0,0.0,0.0,0.1864406779661017,,,3.498140938099906,,
graph_quality_score,>80,110,6,12,48,43,1,0.05454545454545454,0.10909090909090909,0.43636363636363634,-0.733429915944236,-2.158629009371549,7.536650197292559,6.4915473466994476,-1.5387929519124268
invalid_distance_pct,1-2,19,0,0,8,11,0,0.0,0.0,0.42105263157894735,,,6.449454903058412,,
invalid_distance_pct,2-3,49,1,2,20,26,0,0.02040816326530612,0.04081632653061224,0.40816326530612246,-2.4117416619377927,-3.110823071937785,6.976752173759538,4.7831049484601325,-3.043830181993124
invalid_distance_pct,3-5,142,5,13,51,73,0,0.035211267605633804,0.09154929577464789,0.3591549295774648,-1.4007115676238002,-2.5926707124727386,6.161179848854014,6.116439865319456,-2.1007265169161022
invalid_distance_pct,<=1,15,0,1,5,8,1,0.0,0.06666666666666667,0.3333333333333333,-1.8211581747493375,-1.8211581747493375,7.033755854502823,2.55780642520973,-1.8211581747493375
invalid_distance_pct,>5,19,0,0,3,16,0,0.0,0.0,0.15789473684210525,,,4.560739337341582,,
low_absorb_width_pct,1-2,19,0,0,8,11,0,0.0,0.0,0.42105263157894735,,,6.449454903058412,,
low_absorb_width_pct,2-3,49,1,2,20,26,0,0.02040816326530612,0.04081632653061224,0.40816326530612246,-2.4117416619377927,-3.110823071937785,6.976752173759538,4.7831049484601325,-3.043830181993124
low_absorb_width_pct,3-5,142,5,13,51,73,0,0.035211267605633804,0.09154929577464789,0.3591549295774648,-1.4007115676238002,-2.5926707124727386,6.161179848854014,6.116439865319456,-2.1007265169161022
low_absorb_width_pct,<=1,15,0,1,5,8,1,0.0,0.06666666666666667,0.3333333333333333,-1.8211581747493375,-1.8211581747493375,7.033755854502823,2.55780642520973,-1.8211581747493375
low_absorb_width_pct,>5,19,0,0,3,16,0,0.0,0.0,0.15789473684210525,,,4.560739337341582,,
position_level,normal,51,6,16,10,19,0,0.11764705882352941,0.3137254901960784,0.19607843137254902,-1.5576905171723234,-2.5926707124727386,5.847575586405714,5.77286540210638,-2.216623910237207
position_level,small,16,0,0,5,11,0,0.0,0.0,0.3125,,,6.277043582158818,,
position_level,zero,177,0,0,72,104,1,0.0,0.0,0.4067796610169492,,,6.3963387236414455,,
selected_by_topn,False,193,0,0,77,115,1,0.0,0.0,0.39896373056994816,,,6.386397461851227,,
selected_by_topn,True,51,6,16,10,19,0,0.11764705882352941,0.3137254901960784,0.19607843137254902,-1.5576905171723234,-2.5926707124727386,5.847575586405714,5.77286540210638,-2.216623910237207
selected_for_execution,False,193,0,0,77,115,1,0.0,0.0,0.39896373056994816,,,6.386397461851227,,
selected_for_execution,True,51,6,16,10,19,0,0.11764705882352941,0.3137254901960784,0.19607843137254902,-1.5576905171723234,-2.5926707124727386,5.847575586405714,5.77286540210638,-2.216623910237207
signal_type,D2_LOW_ABSORB,51,6,16,10,19,0,0.11764705882352941,0.3137254901960784,0.19607843137254902,-1.5576905171723234,-2.5926707124727386,5.847575586405714,5.77286540210638,-2.216623910237207
signal_type,D2_WATCH_OR_SMALL,16,0,0,5,11,0,0.0,0.0,0.3125,,,6.277043582158818,,
signal_type,WATCH_ONLY,177,0,0,72,104,1,0.0,0.0,0.4067796610169492,,,6.3963387236414455,,
support_score,50-60,8,0,0,2,6,0,0.0,0.0,0.25,,,4.6798728177139814,,
support_score,60-70,20,0,2,5,13,0,0.0,0.1,0.25,-6.810250878934676,-6.810250878934676,4.257147158183991,2.6087502830256737,-6.810250878934676
support_score,70-80,17,1,5,1,10,0,0.058823529411764705,0.29411764705882354,0.058823529411764705,-2.730618917699195,-2.2987620022942243,3.1069441339603783,3.314826575720211,-3.355757910810727
support_score,<=50,55,0,0,18,37,0,0.0,0.0,0.32727272727272727,,,5.687889256195648,,
support_score,>80,144,5,9,61,68,1,0.034722222222222224,0.0625,0.4236111111111111,-0.3046411509804715,-2.2551998778505276,7.246019458102434,7.278327058997696,-1.0721912001774885
support_type,A,169,6,16,64,82,1,0.03550295857988166,0.09467455621301775,0.378698224852071,-1.5576905171723234,-2.5926707124727386,6.678340841088819,5.77286540210638,-2.216623910237207
support_type,B,26,0,0,7,19,0,0.0,0.0,0.2692307692307692,,,4.884347816258933,,
support_type,C,49,0,0,16,33,0,0.0,0.0,0.32653061224489793,,,5.621640062376996,,
theme_score,50-60,66,1,4,19,42,0,0.015151515151515152,0.06060606060606061,0.2878787878787879,-1.7470043872929175,-2.49609984399376,6.07290378760506,6.8615564103431295,-0.6801949654513753
theme_score,60-70,153,5,12,60,75,1,0.032679738562091505,0.0784313725490196,0.39215686274509803,-1.502009967136855,-3.110823071937785,6.466540522572306,5.452662164389687,-2.6685147763506865
theme_score,<=50,25,0,0,8,17,0,0.0,0.0,0.32,,,5.627554326768088,,
total_score,50-60,22,0,0,7,15,0,0.0,0.0,0.3181818181818182,,,4.992376675276145,,
total_score,60-70,32,0,0,7,25,0,0.0,0.0,0.21875,,,4.619511833240445,,
total_score,70-80,74,3,9,25,37,0,0.04054054054054054,0.12162162162162163,0.33783783783783783,-1.9529259519258388,-2.5926707124727386,7.040032542684284,5.370545190550144,-1.979013652728128
total_score,<=50,41,0,0,13,28,0,0.0,0.0,0.3170731707317073,,,5.233266257298811,,
total_score,>80,75,3,7,35,29,1,0.04,0.09333333333333334,0.4666666666666667,-1.083407995468106,-3.3274180932984674,7.178806450736069,6.255649655973861,-2.5017562192481013
