comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,executed,False,missed_selected,success,10,0,,,1.0,,1.0,0.0,,1.0,1,positive_group_overrepresented,`executed=False` is overrepresented in the positive group.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,executed,True,missed_selected,success,0,6,,,-1.0,,0.0,1.0,0.0,1.0,1,negative_group_overrepresented,`executed=True` is overrepresented in the negative group. lift=0.00.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,failure_reason,zone_too_low,missed_selected,success,10,0,,,1.0,,1.0,0.0,,1.0,1,positive_group_overrepresented,`failure_reason=zone_too_low` is overrepresented in the positive group.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,daily_rank,,missed_selected,success,10,6,15.0,28.833333333333332,-13.833333333333332,-0.9605500790504217,,,,0.9605500790504217,1,negative_group_higher,`daily_rank` is higher in the negative group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,active_money_score,,missed_selected,success,10,6,88.0,75.33333333333333,12.666666666666671,0.9549554984118943,,,,0.9549554984118943,1,positive_group_higher,`active_money_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,total_score,,missed_selected,success,10,6,85.08,81.48333333333333,3.596666666666664,0.8585966323121402,,,,0.8585966323121402,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,support_score,,missed_selected,success,10,6,90.0,87.33333333333333,2.6666666666666714,0.8229511997978249,,,,0.8229511997978249,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,segment,failure_reason,,missed_selected,success,0,4,,,-0.6666666666666666,,0.0,0.6666666666666666,0.0,0.6666666666666666,1,negative_group_overrepresented,`failure_reason=` is overrepresented in the negative group. lift=0.00.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,consecutive_boards,,missed_selected,success,10,6,1.2,1.0,0.19999999999999996,0.6047431568147634,,,,0.6047431568147634,1,positive_group_higher,`consecutive_boards` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,low_absorb_width_pct,,missed_selected,success,10,6,4.045761806118014,3.5449359520430748,0.5008258540749391,0.5088282936951062,,,,0.5088282936951062,1,positive_group_higher,`low_absorb_width_pct` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,invalid_distance_pct,,missed_selected,success,10,6,4.045761806118014,3.5449359520430748,0.5008258540749391,0.5088282936951062,,,,0.5088282936951062,1,positive_group_higher,`invalid_distance_pct` is higher in the positive group; treat as a candidate hypothesis.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,days_since_d0,,missed_selected,success,10,6,1.7,1.8333333333333333,-0.1333333333333333,-0.30792014356780034,,,,0.30792014356780034,1,negative_group_higher,`days_since_d0` is higher in the negative group; treat as a candidate hypothesis.
missed_unselected_vs_ordinary,Filtered or unselected opportunities vs ordinary baseline.,numeric,days_since_d0,,missed_unselected,ordinary,77,134,0.5584415584415584,1.0970149253731343,-0.5385733669315759,-0.6410977286094903,,,,0.6410977286094903,1,negative_group_higher,`days_since_d0` is higher in the negative group; treat as a candidate hypothesis.
